nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,games_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,games_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,games_champ_3,winrate_champ_3,champ_4,regional_rank_4,kills_champ_4,deaths_champ_4,assists_champ_4,games_champ_4,winrate_champ_4,champ_5,regional_rank_5,kills_champ_5,deaths_champ_5,assists_champ_5,games_champ_5,winrate_champ_5,champ_6,regional_rank_6,kills_champ_6,deaths_champ_6,assists_champ_6,games_champ_6,winrate_champ_6,champ_7,regional_rank_7,kills_champ_7,deaths_champ_7,assists_champ_7,games_champ_7,winrate_champ_7,champ_8,regional_rank_8,kills_champ_8,deaths_champ_8,assists_champ_8,games_champ_8,winrate_champ_8
Satoru Gojo03,Zeri,122,7.3,4.6,5.9,23,60.9,Draven,880,8.0,5.9,7.7,21,57.1,Varus,1558,6.8,5.8,8.2,17,58.8,Aphelios,1905,6.0,5.4,7.4,17,52.9,Caitlyn,666,5.8,4.5,7.7,13,61.5,Lucian,4463,9.5,6.4,7.7,11,81.8,Xayah,210,8.4,2.8,6.4,9,88.9,Sivir,0,6.3,9.0,11.3,3,66.7
Hide on bush,Annie,514,5.0,2.8,6.7,28,67.9,Aurelion Sol,245,6.9,3.4,6.6,27,55.6,Yone,850,5.1,4.5,5.4,16,62.5,Sylas,1640,4.4,3.8,5.4,16,50.0,Akali,19442,7.9,3.9,4.3,15,60.0,Ryze,1667,4.9,3.2,6.4,15,53.3,Tristana,5271,5.9,6.7,4.5,13,30.8,Jayce,18688,5.8,6.3,6.6,12,25.0
Jinno Kingdom,Varus,299,7.8,4.6,8.0,79,53.2,Zeri,72,6.8,3.4,6.1,64,64.1,Caitlyn,18,6.9,4.8,5.8,51,56.9,Ezreal,97,7.3,5.6,6.6,36,52.8,Sivir,678,6.3,4.4,8.8,32,62.5,Draven,106,7.6,5.4,5.6,29,48.3,Maokai,1391,3.6,4.3,10.4,25,56.0,Xayah,1137,6.9,5.5,5.7,24,37.5
Kongenvenderhjem,Jayce,36,6.8,6.1,5.6,38,73.7,Gangplank,10569,7.0,5.7,6.3,28,71.4,Fiora,53,5.0,5.6,4.9,14,50.0,Vladimir,305,4.3,5.0,5.4,11,54.5,Gnar,2672,8.1,4.2,5.3,10,70.0,Quinn,2429,8.8,7.1,6.0,10,60.0,Jax,485,4.2,5.9,4.3,9,33.3,Lee Sin,540,9.3,6.1,4.3,8,62.5
pleroma chronou,Aurelion Sol,839,7.5,6.7,7.9,24,54.2,Tristana,1216,8.8,5.0,4.9,22,63.6,Akali,756,9.8,4.0,5.4,17,64.7,Sylas,831,7.5,4.8,4.9,15,53.3,Ryze,3807,7.7,3.8,5.8,12,75.0,Lee Sin,1546,8.4,5.6,4.5,12,66.7,Syndra,0,6.4,5.2,8.8,9,55.6,Gragas,0,2.3,5.9,8.0,7,42.9
Razørk Activoo,Kindred,91,8.4,4.6,7.8,56,62.5,Vi,12,6.8,5.1,9.4,37,51.4,Sylas,333,6.6,4.9,7.7,28,60.7,Karthus,1036,9.2,6.1,9.2,25,52.0,Viego,448,7.7,6.0,8.0,20,45.0,Gragas,2320,6.7,3.3,8.4,19,68.4,Ziggs,544,4.4,4.8,4.8,16,31.3,Ahri,1821,4.8,3.9,6.8,13,46.2
FNC Hylissang,Annie,81,2.4,6.2,14.7,62,59.7,Rakan,42,1.6,4.7,15.5,54,59.3,Rell,62,1.6,5.5,15.0,35,71.4,Heimerdinger,37,2.8,6.1,10.5,31,54.8,Ashe,245,2.8,7.1,12.6,28,46.4,Thresh,4112,1.4,4.8,12.0,28,50.0,Orianna,1742,2.7,5.1,7.2,21,38.1,Pyke,1040,4.8,5.7,9.9,18,55.6
elyoyaaaaaaaaaaa,Nidalee,305,8.7,5.1,7.9,35,42.9,Elise,304,8.3,3.0,6.7,31,67.7,Vi,332,5.4,4.1,9.2,25,52.0,Lee Sin,1244,8.6,4.0,9.6,22,59.1,Wukong,956,7.8,3.7,8.6,22,54.5,Maokai,2472,4.4,3.7,10.2,19,63.2,Graves,1156,8.6,3.8,5.8,19,52.6,Gragas,860,7.8,3.7,6.9,17,64.7
HAHAHAHHAHA,Caitlyn,17,6.5,5.9,6.2,45,55.6,Draven,232,6.6,6.1,5.1,35,48.6,Zeri,846,7.8,5.7,5.6,33,60.6,Ezreal,463,8.1,6.4,5.9,25,52.0,Samira,2951,11.4,7.5,5.7,23,60.9,Jhin,972,8.7,5.0,8.6,20,60.0,Lucian,3187,5.8,8.3,5.4,12,33.3,Aphelios,5080,10.2,5.6,5.6,11,81.8
Wesley Warren Jr,Aurelion Sol,93,7.0,4.3,6.6,71,64.8,Syndra,3,6.3,5.3,5.2,57,49.1,Zoe,156,6.7,4.6,5.7,47,55.3,Akali,38,6.4,4.7,4.5,39,48.7,Sylas,265,5.4,5.5,6.5,36,58.3,Ezreal,513,5.4,5.2,6.2,27,51.9,Jayce,1644,5.6,6.1,5.3,19,47.4,Viktor,1906,6.2,5.1,5.4,18,50.0
T1 Gumayusi,Varus,28,6.2,5.3,7.1,64,57.8,Ezreal,55,6.7,5.4,7.0,36,61.1,Draven,361,7.7,4.6,5.8,33,54.5,Caitlyn,363,6.7,5.1,5.7,27,51.9,Lucian,1868,7.9,4.7,5.7,15,66.7,Sivir,605,5.9,6.0,9.2,14,50.0,Cho'Gath,2969,6.1,4.2,8.5,11,72.7,Aphelios,245,5.9,6.0,6.6,11,54.5
GOOD GAME GG EZ,Azir,46,4.4,4.1,5.1,27,63.0,Jayce,111,8.5,6.2,5.9,20,55.0,Sylas,1526,7.5,4.6,6.8,17,58.8,Viktor,2428,6.8,4.8,6.0,16,43.8,Gragas,3776,6.6,5.6,9.2,14,71.4,Lee Sin,742,7.5,6.5,6.7,12,50.0,Akali,3398,7.5,4.6,5.1,11,54.5,Aurelion Sol,5959,8.3,6.6,9.7,11,54.5
TL Honda CoreJJ,Ashe,54,3.3,6.3,14.0,35,57.1,Heimerdinger,144,3.5,5.7,9.0,20,45.0,Karma,731,2.9,4.8,14.2,19,52.6,Thresh,1063,1.6,4.6,12.4,17,52.9,Rakan,1392,2.3,4.4,16.2,14,64.3,Lux,613,3.9,3.8,13.1,13,76.9,Nautilus,652,2.3,6.7,10.2,13,46.2,Annie,1559,2.6,7.2,9.3,13,30.8
칸 나,Jayce,404,6.2,4.7,5.2,59,59.3,Jax,40,4.9,3.7,3.6,23,56.5,Gangplank,1614,6.6,4.3,5.7,17,70.6,Fiora,1045,4.3,4.8,3.7,13,46.2,Lee Sin,3750,6.3,4.1,5.4,12,50.0,Kennen,11086,6.4,6.1,3.8,10,50.0,Lucian,712,6.0,6.0,4.2,9,44.4,K'Sante,0,4.0,3.4,4.3,8,50.0
잘가요 굿바이,Lee Sin,364,7.9,4.6,7.6,18,55.6,Kindred,5214,8.6,5.4,5.9,17,52.9,Gragas,3293,8.9,2.9,10.1,16,81.3,Nidalee,249,8.3,4.3,6.1,14,50.0,Sylas,4541,9.2,4.7,7.0,13,76.9,Wukong,3792,7.8,5.4,6.7,11,45.5,Vi,2212,4.7,4.8,8.5,10,60.0,Viego,0,5.6,5.3,5.3,8,25.0
Kobbe,Varus,106,8.2,3.9,8.1,31,64.5,Caitlyn,687,6.6,4.4,7.0,25,68.0,Zeri,1352,7.2,3.6,6.0,24,54.2,Lucian,1119,7.5,5.0,7.7,22,68.2,Sivir,1058,7.7,5.0,8.5,17,52.9,Jhin,1252,6.3,3.3,10.4,12,50.0,Ashe,14970,6.7,5.0,9.9,12,41.7,Ezreal,643,8.6,2.9,6.9,10,90.0
Jænsen,Orianna,112,6.0,3.6,11.3,24,75.0,LeBlanc,17,6.8,2.2,6.5,13,76.9,Sejuani,64,3.8,4.0,11.9,11,63.6,Yone,350,6.0,5.2,7.0,9,66.7,Viktor,0,7.1,4.4,7.1,7,85.7,Sylas,0,8.4,3.6,8.4,7,57.1,Cassiopeia,0,7.3,3.8,7.8,6,66.7,Lee Sin,0,7.0,5.5,9.8,6,33.3
Vulcan 01,Ashe,122,3.2,5.8,13.4,25,52.0,Thresh,1847,1.2,4.7,13.0,19,52.6,Heimerdinger,1169,2.7,4.4,7.4,18,33.3,Nautilus,1689,1.0,4.7,11.9,17,52.9,Lux,894,5.5,5.0,11.9,10,60.0,Rakan,7149,1.9,3.6,19.1,9,66.7,Nami,0,2.4,3.1,18.8,8,50.0,Karma,0,2.4,4.0,16.4,7,57.1
