nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
T1 Gumayusi,Varus,28,6.2,5.3,7.1,57.8,Ezreal,55,6.7,5.4,7.0,61.1,Draven,361,7.7,4.6,5.8,54.5,1.006114839076686
Beanovich,Xayah,71,7.6,4.4,6.1,62.3,Caitlyn,28,6.9,4.4,6.7,50.7,Zeri,195,6.7,4.6,6.2,37.7,1.0056787961372768
HAHAHAHHAHA,Caitlyn,17,6.5,5.9,6.2,55.6,Draven,232,6.6,6.1,5.1,48.6,Zeri,846,7.8,5.7,5.6,60.6,1.004878229856615
Kobbe,Varus,106,8.2,3.9,8.1,64.5,Caitlyn,687,6.6,4.4,7.0,68.0,Zeri,1352,7.2,3.6,6.0,54.2,1.003914311776759
Jinno Kingdom,Varus,299,7.8,4.6,8.0,53.2,Zeri,72,6.8,3.4,6.1,64.1,Caitlyn,18,6.9,4.8,5.8,56.9,1.003331135812235
Satoru Gojo03,Zeri,122,7.3,4.6,5.9,60.9,Draven,880,8.0,5.9,7.7,57.1,Varus,1558,6.8,5.8,8.2,58.8,1.0029738754346855
땅우양,Varus,31,6.9,3.6,6.7,65.9,Caitlyn,6,5.8,3.4,5.9,66.7,Lucian,207,6.8,5.1,4.7,43.8,0.0102142725955263
Sophist Sage,Lucian,67,6.3,4.2,6.7,61.5,Ezreal,22,6.4,4.3,7.2,56.8,Caitlyn,171,6.5,4.3,6.5,56.3,0.0097594445549153
qiqi77,Zeri,23,6.5,3.8,6.6,65.8,Ezreal,202,6.3,4.3,6.3,51.4,Kai'Sa,820,9.1,3.9,5.6,67.9,0.0089468490572585
FA IsDEAD,Varus,108,8.1,5.0,7.7,58.5,Caitlyn,7,7.3,5.7,7.6,62.1,Jhin,301,8.6,3.6,10.0,78.6,0.008856581465507
