nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
T1 Gumayusi,KR,Challenger,1083,308,55.1,6.4,5.1,6.6,1.006114839076686
Beanovich,EUW,Challenger,1103,281,53.5,6.6,4.5,6.4,1.0056787961372768
HAHAHAHHAHA,EUW,Challenger,1293,86,55.7,7.3,6.0,6.1,1.004878229856615
Kobbe,EUW,Challenger,1013,452,56.6,7.0,4.4,7.4,1.003914311776759
Jinno Kingdom,EUW,Challenger,801,1183,51.9,6.6,4.9,7.5,1.003331135812235
Satoru Gojo03,EUW,Challenger,984,535,62.1,7.2,5.2,7.2,1.0029738754346855
땅우양,KR,Challenger,1033,358,55.2,5.4,4.0,7.2,0.0102142725955263
Sophist Sage,EUW,Challenger,1040,347,53.7,5.1,4.4,8.3,0.0097594445549153
qiqi77,EUW,Challenger,1256,96,59.1,6.2,4.1,7.2,0.0089468490572585
FA IsDEAD,BR,Challenger,1006,425,58.6,7.6,5.1,7.6,0.008856581465507
100 Unforgiven,EUW,Challenger,1179,158,52.8,7.6,5.6,6.6,0.0087870057713089
Scorth,EUW,Challenger,1002,443,52.9,7.4,5.6,7.2,0.0085589032034876
Notiko,EUW,Challenger,1048,327,57.0,6.3,4.9,7.0,0.0084341982031323
como a isa,BR,Challenger,1243,109,59.2,7.4,6.6,8.0,0.0082586415944161
Maykel,EUW,Challenger,1002,446,54.3,6.8,4.6,7.4,0.0081093297180858
remove ff ggwp,EUW,Challenger,1090,267,54.5,6.4,5.2,7.2,0.0080842581287042
kksh3,BR,Challenger,1024,374,53.9,6.5,4.3,7.3,0.0080113932353441
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0079114370368498
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0079114370368498
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0079114370368498
niinim,EUW,Challenger,1104,250,52.2,9.1,8.2,6.8,0.0078874212041368
Kral Luger,EUW,Challenger,1220,126,59.7,7.0,4.6,7.6,0.0078842172829321
Palavra,EUW,Challenger,1015,399,56.7,8.8,5.5,6.3,0.0078165563823377
zi du,EUW,Challenger,1027,371,57.1,8.0,5.3,6.6,0.0077858271842428
udo1zO5x3,KR,Challenger,1074,285,60.4,6.7,3.4,5.9,0.0077523018637167
zenbukorosu,KR,Challenger,1178,159,54.0,6.7,5.6,7.2,0.0077240860724235
no brain adc,BR,Challenger,1314,74,58.9,8.5,5.7,7.4,0.0077056202660571
RIV ixdmmpxr,BR,Challenger,1051,325,53.8,6.5,5.3,8.1,0.0076181586149315
LLL Beenie,BR,Challenger,1232,115,57.4,7.5,5.0,7.5,0.0075799656623034
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0075507779453724
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0075507779453724
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0075507779453724
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0075507779453724
SaicoWhenISlide,EUW,Challenger,976,506,52.9,6.7,5.6,6.6,0.0075233950375983
Pongji,EUW,Challenger,1082,280,60.4,7.0,4.2,6.1,0.0075080669582543
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0074819202590865
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0074819202590865
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0074819202590865
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0074819202590865
SNIPP FON FON,BR,Challenger,960,550,54.2,5.2,4.6,7.5,0.0074325377819625
NS Jiwoo,KR,Challenger,969,522,55.3,6.5,5.3,6.5,0.0074107904677415
warcyclone,EUW,Challenger,956,554,54.8,5.6,4.3,7.8,0.0073874145544958
avarice61,EUW,Challenger,1117,233,52.8,6.0,4.6,7.1,0.0073584566308159
DUDAO MALTRATA,BR,Challenger,1168,171,57.1,7.0,5.6,7.1,0.007328346143664
HealthandAhn,KR,Challenger,951,568,55.1,7.2,6.2,7.2,0.0072321149188057
BDS xMatty,EUW,Challenger,1307,78,56.8,7.5,5.0,6.4,0.0072270168352666
Upset03,EUW,Challenger,1032,361,52.9,7.6,4.7,6.5,0.0072109070423244
We lost on Sep14,EUW,Challenger,813,1060,51.7,6.5,4.5,5.8,0.0071894927079591
viper3,KR,Challenger,1169,170,58.3,7.1,4.8,7.2,0.0071443290824769
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0071443290824769
viper3,KR,Challenger,1169,170,58.3,7.1,5.2,8.5,0.0071443290824769
viper3,LAS,Challenger,625,1891,58.7,7.1,5.2,8.5,0.0071443290824769
Hxssx,BR,Challenger,944,584,54.5,6.3,5.2,8.8,0.0071148057171487
I am Súnlight,EUW,Challenger,1086,273,55.9,5.9,3.8,5.2,0.0070529119786951
ANDARlEL,EUW,Challenger,1204,140,56.5,9.0,5.9,6.6,0.0070006544674897
school phobiia,BR,Challenger,1207,135,52.7,7.0,5.1,6.4,0.0069599975185291
sanghyxxn,EUW,Challenger,1249,103,56.5,5.2,5.1,10.2,0.0069538602650934
