nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
elyoyaaaaaaaaaaa,Nidalee,305,8.7,5.1,7.9,42.9,Elise,304,8.3,3.0,6.7,67.7,Vi,332,5.4,4.1,9.2,52.0,1.0056206462473345
bluerzor,Elise,388,7.3,4.6,8.9,57.4,Graves,84,7.1,4.8,8.2,51.4,Vi,320,6.1,4.1,9.4,53.6,1.0055687896141303
I Love Uber Eats,Vi,28,5.0,4.9,9.2,51.5,Maokai,81,4.2,3.9,10.8,64.0,Wukong,23,7.2,5.3,7.7,48.9,1.0051515953016077
blaberfish2,Lee Sin,8,7.9,5.0,9.4,55.6,Sylas,291,9.8,6.1,8.7,77.8,Graves,307,7.6,5.8,8.3,62.5,1.0048403373692356
Razørk Activoo,Kindred,91,8.4,4.6,7.8,62.5,Vi,12,6.8,5.1,9.4,51.4,Sylas,333,6.6,4.9,7.7,60.7,1.004502785153208
Maxlore,Viego,174,7.7,5.1,7.5,46.3,Sylas,88,8.8,4.8,7.9,56.0,Rengar,56,7.8,4.4,6.4,58.0,1.004151813074028
Boukada,Nidalee,112,9.8,4.2,10.7,85.0,Elise,78,9.2,4.3,10.5,80.0,Maokai,294,4.8,5.3,11.1,53.3,1.002177099495707
잘가요 굿바이,Lee Sin,364,7.9,4.6,7.6,55.6,Kindred,5214,8.6,5.4,5.9,52.9,Gragas,3293,8.9,2.9,10.1,81.3,1.0010436297427798
Draven696969,Vi,21,6.6,4.7,8.9,66.0,Gragas,4,6.8,4.1,8.3,56.8,Lee Sin,65,6.9,5.9,7.9,40.5,0.0112376573211595
nemesis fan 48,Udyr,58,5.5,3.7,6.9,63.3,Evelynn,23,9.4,4.1,6.3,55.1,Sion,42,3.4,6.4,5.1,45.7,0.0088543766338219
