nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
elyoyaaaaaaaaaaa,EUW,GrandMaster,806,2815,53.5,7.2,4.4,7.7,1.0056206462473345
bluerzor,EUW,GrandMaster,786,2880,53.6,6.2,4.5,8.4,1.0055687896141303
I Love Uber Eats,EUW,Challenger,1258,108,54.3,5.0,4.7,9.3,1.0051515953016077
blaberfish2,EUW,Challenger,1462,25,62.2,7.3,5.5,8.0,1.0048403373692356
Razørk Activoo,EUW,Challenger,1036,387,53.4,6.5,4.8,8.5,1.004502785153208
Maxlore,EUW,Challenger,914,755,51.5,7.7,5.1,7.7,1.004151813074028
Boukada,EUW,Challenger,1006,477,58.8,7.2,5.4,9.9,1.002177099495707
잘가요 굿바이,KR,GrandMaster,637,3740,56.7,7.7,4.8,7.3,1.0010436297427798
Draven696969,EUW,Challenger,1250,100,53.7,6.3,5.0,8.4,0.0112376573211595
nemesis fan 48,EUW,Challenger,1222,122,56.9,6.0,4.5,7.1,0.0088543766338219
paiN caca1,BR,Challenger,1153,184,55.6,7.6,5.3,7.8,0.0087185434642844
JUGKlNG,KR,Challenger,1403,42,68.7,7.0,4.6,8.1,0.008520646742613
Yagiao,EUW,Challenger,1222,123,58.2,6.6,4.5,8.8,0.0083874910550457
im a jungler,EUW,Challenger,1423,34,55.8,7.5,3.8,8.1,0.0083644526854077
Yøø Høbin,LAN,Challenger,1145,193,59.1,8.1,5.4,7.5,0.0082889695279283
KJ Allen,BR,Challenger,1262,92,55.8,7.1,4.9,7.9,0.0082821188409601
Śheiden,EUW,Challenger,1273,88,63.0,8.5,4.4,7.3,0.0082533420002484
dw99q0znyh9c7wh,BR,Challenger,1206,139,56.2,9.0,5.4,7.2,0.0082296246867031
AHaHaCiK,EUW,Challenger,1209,132,55.7,6.7,5.1,8.9,0.0081983343171226
Boogeyman,LAS,Challenger,1286,84,58.6,8.6,4.6,5.4,0.0081646472175019
RED Curse,BR,Challenger,1282,86,58.1,6.1,4.9,10.3,0.0080971077574563
ssywfnkhl,BR,Challenger,1250,102,53.1,6.6,4.2,8.7,0.007990152178158
100T C1oser,EUW,Challenger,1247,104,60.9,7.2,5.0,8.9,0.007941496406543
Villager C,EUW,Challenger,1144,194,53.6,8.0,4.3,8.0,0.0079184836472481
lalalalalalaaala,EUW,Challenger,1080,283,60.8,5.9,3.8,8.0,0.0078543805499205
Wx Mjm978244659,EUW,Challenger,1226,120,53.1,6.0,4.7,8.7,0.0078043301258262
DuplaNazareno,BR,Challenger,1336,63,54.7,7.8,4.5,6.8,0.0077767980696682
Perfect Blue,KR,Challenger,1031,360,59.1,7.5,4.3,7.8,0.0077739563366759
Zwei und die,EUW,Challenger,1157,178,54.5,6.0,4.1,8.5,0.0077722528948449
LBR Drakehero,BR,Challenger,1349,57,52.8,6.6,4.9,8.4,0.0077519840915652
B0NN1E,KR,Challenger,1086,273,55.8,5.6,4.4,8.9,0.0077418565423983
VELJA THE MENACE,EUW,Challenger,1216,129,56.7,7.0,4.7,6.0,0.0077182355059727
Matty,EUW,Challenger,1122,226,57.7,4.1,3.8,9.4,0.0077083558654089
zuao og,BR,Challenger,1033,360,59.5,6.2,4.9,10.3,0.0076714417299417
sarolu,BR,Challenger,1025,369,51.9,5.9,4.8,7.8,0.0076643425967336
TH Krillin,EUW,Challenger,1225,121,56.0,7.4,4.8,8.8,0.0076628470849966
JhompysJr,LAN,Challenger,1005,428,53.0,6.6,5.0,8.4,0.0076087298338105
再见,EUW,Challenger,1011,409,55.5,7.1,4.6,7.4,0.0076023821840207
TETIS XDDDDD,BR,Challenger,1041,347,55.2,7.2,4.2,8.3,0.0075645514812922
exselor,LAS,Challenger,1104,252,55.1,6.3,4.7,7.7,0.0075621873257356
陪daiVX Ekko4567,JP,Challenger,1127,220,56.4,7.5,4.6,6.6,0.0075548410924232
Paresz14,EUNE,Challenger,1053,322,58.3,7.0,4.4,8.8,0.0075373689157989
BABO JUNGLE1,EUW,Challenger,1148,186,55.4,5.9,4.5,8.0,0.0075371010446658
loveIyx,EUW,GrandMaster,854,2684,56.9,8.1,5.5,7.0,0.0074023291291027
LOS CrjaY,BR,Challenger,1058,316,52.9,7.3,5.1,7.8,0.0073940682475426
但偏偏雨漸漸,TW,Challenger,1016,397,61.6,8.4,4.2,6.3,0.0073851454622168
Bo Fan,EUW,Challenger,996,469,55.1,6.2,5.3,8.9,0.0073548784583352
mxxxx,KR,Challenger,993,478,55.4,6.9,4.9,7.5,0.007340529488762
MartinSON,LAN,Challenger,1079,284,53.0,6.1,4.1,8.8,0.0073344601881932
King,BR,Challenger,1054,318,50.8,7.2,5.6,7.3,0.0072982958757949
AERO X BANE PAIN,EUNE,Challenger,1245,105,62.9,7.0,5.1,9.7,0.0072740831145779
NNJ Azrawr,PH,Challenger,1113,244,56.3,9.0,4.8,6.9,0.0072357669558791
피그말랑 효과,KR,Challenger,859,901,52.4,6.5,5.2,7.7,0.0072250198693958
STEPZ,LAN,Challenger,1410,38,56.2,9.7,6.4,7.0,0.0071864173160194
Ice Prince,RU,Challenger,1137,204,54.4,7.9,4.9,7.9,0.007110628093498
eilataN,KR,Challenger,1056,314,53.5,7.1,5.4,8.5,0.0071057374937224
Soweto,BR,Challenger,1004,436,52.8,8.3,5.5,8.0,0.0071030391309059
Promise to Dark,EUW,Challenger,964,541,55.8,6.5,3.9,6.6,0.0071026848961354
林小希,TW,Challenger,1230,117,59.8,5.9,4.2,7.6,0.0070921347292549
LEWANDOWSKI 9,BR,Challenger,1198,147,70.5,9.9,4.6,8.3,0.0070275287224601
oerwoud,BR,Challenger,1048,331,53.2,6.8,5.0,8.9,0.0070237597103405
Curling Captain,EUW,Challenger,929,632,54.1,5.7,4.4,7.5,0.0069963574160684
Gragolandia,BR,Challenger,1010,412,54.6,7.2,7.0,7.6,0.0069872107277555
FA Vinite,BR,Challenger,997,464,55.1,5.1,5.0,8.9,0.0069703052408621
PB Lord Semi,BR,Challenger,1085,275,52.9,4.7,3.8,10.1,0.006967056043718
Big Genos,BR,Challenger,978,501,58.2,7.1,4.7,9.2,0.0069320968289993
hwa i tings,KR,Challenger,1146,188,54.0,6.8,4.5,8.1,0.0069252286367099
갱스기무라,KR,Challenger,1046,337,57.7,5.9,4.0,8.3,0.0068629545895045
no more slacking,KR,Challenger,843,965,53.0,6.2,4.8,7.7,0.0068538591945468
주사는 무서워,KR,Challenger,902,753,54.4,6.5,4.1,8.1,0.0068345778764883
Astrax00,EUW,Challenger,864,887,52.9,5.1,5.7,10.3,0.0067977791647852
readysetgo1,EUW,Challenger,970,523,60.5,7.3,4.0,8.1,0.0067478376118452
Music101,EUW,Challenger,1071,293,65.4,7.3,3.8,8.6,0.0067371014728066
jgWorm,BR,Challenger,930,624,55.3,7.5,6.0,8.2,0.0067240606121662
Badlulu fan,EUW,Challenger,946,578,55.4,7.1,4.4,8.3,0.0067153972420582
kanaaa,EUW,Challenger,925,645,54.5,6.3,4.3,8.3,0.0067064252192561
BT1 Levi,BR,Challenger,1003,441,55.8,5.8,4.6,8.1,0.0066900697769416
Gutizin do corta,BR,GrandMaster,860,2679,53.6,7.5,6.5,7.5,0.006612425428958
Canon,PH,Challenger,911,721,53.1,4.0,4.7,10.8,0.0065959814606515
APOJHE,TR,Challenger,1114,241,61.1,8.5,4.6,9.1,0.0065906402197657
KANG HYUNJUN,JP,Challenger,995,470,52.7,6.2,5.2,7.4,0.0065901940312186
JUGKlNG1,EUNE,Challenger,929,630,54.1,7.6,4.9,6.5,0.0065900370822644
KIREAS1,EUW,Challenger,863,891,54.8,7.7,6.9,8.3,0.0065713458145221
IW Elramir,EUW,Challenger,894,778,51.8,4.9,5.7,8.9,0.0065590980713914
TwTvLeaningTable,LAN,Challenger,1197,148,68.5,7.4,3.9,10.1,0.0065432709714625
Kneking,LAS,Challenger,993,480,57.5,7.7,4.7,7.6,0.0065370735667307
Kosanuemi,BR,Challenger,924,656,54.5,6.8,5.2,8.5,0.0065078750413718
RhiIech,EUW,Challenger,909,730,52.8,7.8,5.6,8.0,0.0065064410496782
Xinxa7,BR,Challenger,972,518,60.0,7.7,4.4,6.7,0.0064767584054215
Cesaroxx,LAN,Challenger,989,486,58.1,7.0,3.4,9.3,0.0064539455900077
zikiinha,BR,Challenger,916,683,51.6,6.9,5.8,9.4,0.0064442799922249
MrGraek,RU,Challenger,1194,152,62.6,7.7,5.2,7.8,0.0063982951357488
Funny Youu,SG,Challenger,1166,173,59.8,8.2,5.1,6.3,0.0063900195196984
