nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
boiat nastana,Ryze,19,5.5,4.0,8.0,61.5,Syndra,4,6.4,4.9,7.1,64.5,Tristana,280,7.3,4.6,5.5,66.7,1.006872103833901
Wesley Warren Jr,Aurelion Sol,93,7.0,4.3,6.6,64.8,Syndra,3,6.3,5.3,5.2,49.1,Zoe,156,6.7,4.6,5.7,55.3,1.0063633811556552
Percy Magic,Syndra,15,6.3,3.4,6.0,68.0,Sylas,3,6.6,3.1,5.6,45.2,Jayce,667,5.8,4.4,5.4,58.5,1.006275739239893
M1dLaoBan,Irelia,78,7.0,6.6,5.0,41.9,Tristana,615,6.6,5.6,4.8,60.0,Aphelios,232,4.3,7.2,8.4,53.6,1.005696121505859
Jænsen,Orianna,112,6.0,3.6,11.3,75.0,LeBlanc,17,6.8,2.2,6.5,76.9,Sejuani,64,3.8,4.0,11.9,63.6,1.003340582251894
dajor25,Sylas,400,7.4,5.9,6.3,64.3,Syndra,111,5.9,5.1,6.1,52.0,Irelia,1923,5.8,6.5,4.0,56.5,1.0030907022006392
pleroma chronou,Aurelion Sol,839,7.5,6.7,7.9,54.2,Tristana,1216,8.8,5.0,4.9,63.6,Akali,756,9.8,4.0,5.4,64.7,1.002979768962171
GOOD GAME GG EZ,Azir,46,4.4,4.1,5.1,63.0,Jayce,111,8.5,6.2,5.9,55.0,Sylas,1526,7.5,4.6,6.8,58.8,1.0027260307513657
Hide on bush,Annie,514,5.0,2.8,6.7,67.9,Aurelion Sol,245,6.9,3.4,6.6,55.6,Yone,850,5.1,4.5,5.4,62.5,1.0026849164164524
Disabled Chattt,Syndra,1825,6.4,3.1,5.4,66.7,Ryze,414,5.2,3.2,7.2,69.2,LeBlanc,137,6.2,2.6,6.0,47.6,1.0010605326354405
nalamango,Jayce,19,7.1,5.4,4.5,56.5,Sylas,52,7.1,5.4,7.3,56.3,LeBlanc,369,7.3,4.3,5.7,46.2,0.0127830157344075
