nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
boiat nastana,EUW,Challenger,1236,122,56.6,5.5,4.9,7.3,1.006872103833901
Wesley Warren Jr,EUW,Challenger,1033,393,54.6,6.2,4.9,6.1,1.0063633811556552
Percy Magic,EUW,Challenger,1304,82,54.8,6.2,3.8,6.2,1.006275739239893
M1dLaoBan,EUW,Challenger,1056,353,53.9,6.1,5.5,7.0,1.005696121505859
Jænsen,EUW,GrandMaster,952,2636,62.0,5.9,4.2,8.4,1.003340582251894
dajor25,EUW,GrandMaster,777,2899,56.6,6.5,5.8,5.7,1.0030907022006392
pleroma chronou,EUW,GrandMaster,616,3944,53.5,7.1,5.2,6.5,1.002979768962171
GOOD GAME GG EZ,EUW,Challenger,1132,235,56.8,6.4,5.3,7.0,1.0027260307513657
Hide on bush,KR,GrandMaster,542,4736,52.5,5.4,4.2,6.4,1.0026849164164524
Disabled Chattt,EUW,Master,428,10318,49.7,5.2,4.1,6.1,1.0010605326354405
nalamango,EUW,Challenger,1298,82,56.2,5.9,4.7,6.0,0.0127830157344075
앗싸 지렸다리,KR,Challenger,1076,283,56.7,5.2,4.4,6.3,0.0109216962484367
the pob,EUW,Challenger,1047,333,51.8,6.1,4.2,5.7,0.0105388236637027
Tkk,BR,Challenger,1011,410,51.8,5.7,4.6,7.2,0.0101055269051393
Jαvier,EUW,Challenger,1255,97,56.4,5.4,3.9,7.9,0.0099158160835172
DK Saint,KR,Challenger,1116,236,54.0,6.6,5.4,6.3,0.0098055492494847
Titeito,BR,Challenger,1002,442,53.2,7.4,6.3,7.7,0.0096734593483799
pizzaman007,EUW,Challenger,1118,232,53.1,7.0,5.6,6.9,0.0095086612782404
Envy Carry,EUW,Challenger,1064,299,52.8,6.6,4.7,6.3,0.0094894653538276
HVAC TECHNlCIAN,EUW,Challenger,1196,149,55.1,5.2,5.0,7.3,0.0094058834621371
the inescapable,EUW,Challenger,1368,50,60.6,5.7,4.9,5.4,0.0093636148131883
azek,BR,Challenger,1157,179,54.9,6.8,5.5,7.1,0.0092707815067489
jayce otpe,BR,Challenger,1114,240,58.0,7.0,5.4,6.6,0.0090655568127878
wx NAtongtiandai,EUW,Challenger,1122,225,55.4,5.6,4.3,5.3,0.0089519319223568
sibal mute all,EUW,Challenger,1406,40,59.0,6.6,4.8,6.0,0.008950587534712
wo hao cai,EUW,Challenger,1006,424,54.5,5.8,4.5,7.1,0.0088952805838661
CHF ABG,OCE,Challenger,1171,167,55.3,7.3,5.1,6.6,0.0088853407814844
Mid Witch,BR,Challenger,1086,275,58.7,5.7,4.9,6.8,0.0088765484240772
KBM Dioge7,BR,Challenger,981,497,53.1,7.3,6.2,5.9,0.0088654447573442
Aithusa 23,BR,Challenger,969,523,53.8,7.0,6.3,6.4,0.0088589874958047
agorinas,EUW,Challenger,988,487,54.4,5.4,4.5,7.0,0.0088317897583013
New Generation,SG,Challenger,1005,423,53.1,7.2,6.5,8.3,0.0086532327178191
KR tacokiller,EUW,Challenger,1200,145,55.0,4.2,4.9,7.2,0.0085051652366155
wegshsdfah,BR,Challenger,998,463,54.1,8.5,5.9,5.9,0.0083556138556979
BrightBehaviour,LAS,Challenger,1008,420,53.8,6.7,4.2,6.0,0.0083475111014512
German Shepherd,LAN,Challenger,955,556,52.9,6.4,4.6,8.7,0.0082891313096487
BOBOPIPLUP,EUW,Challenger,946,576,54.7,5.6,4.0,5.9,0.0081658945978415
Mandioguila,BR,Challenger,1069,297,56.6,5.6,5.8,8.8,0.0081512697757627
aimyon36,OCE,Challenger,1345,58,54.6,6.5,4.6,5.9,0.0081066284010198
ssavraa,EUW,Challenger,926,641,54.3,5.2,5.7,6.3,0.0080604552478551
KY5EK4,EUNE,Challenger,1096,262,54.7,6.4,3.6,6.8,0.0080281081605599
