,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
0,boiat nastana,EUW,Challenger,1236,122,56.6,5.5,4.9,7.3,1.006872103833901,0.0002039278066509,0.0002381985311743,0.0018137737284913,0.0004135902491612,0.0003910255787291,0.0002951705173246,0.0020540710806617,0.0013661745891609,9.617175254666328e-05,1.0
1,Wesley Warren Jr,EUW,Challenger,1033,393,54.6,6.2,4.9,6.1,1.0063633811556552,0.0002109814116451,0.0002505360503208,1.0,0.0003597943632269,0.0004317487853363,0.0003010214156956,0.0014227043406596,0.0014739456646737,9.887539560539538e-05,0.0018137737284913
2,Percy Magic,EUW,Challenger,1304,82,54.8,6.2,3.8,6.2,1.006275739239893,0.000201052640631,0.0002352870436592,0.0014227043406596,0.000413821951977,0.0003709548796898,0.0003010337997255,1.0,0.0011812024811825,9.561102170662202e-05,0.0020540710806617
3,M1dLaoBan,EUW,Challenger,1056,353,53.9,6.1,5.5,7.0,1.005696121505859,0.000212276774392,0.0002604971356131,0.0014739456646737,0.0003847852867875,0.000413839623861,0.0003048201971717,0.0011812024811825,1.0,9.857975301640416e-05,0.0013661745891609
4,Jænsen,EUW,GrandMaster,952,2636,62.0,5.9,4.2,8.4,1.003340582251894,0.0003741935267267,0.0004690464814405,0.0004317487853363,0.0002849220188919,1.0,0.0004783665237349,0.0003709548796898,0.000413839623861,0.0001264848334834,0.0003910255787291
5,dajor25,EUW,GrandMaster,777,2899,56.6,6.5,5.8,5.7,1.0030907022006392,0.0004529738164017,0.0004976519120166,0.0003010214156956,0.0003316964978295,0.0004783665237349,1.0,0.0003010337997255,0.0003048201971717,0.0001279675207388,0.0002951705173246
6,pleroma chronou,EUW,GrandMaster,616,3944,53.5,7.1,5.2,6.5,1.002979768962171,0.0006466872639594,1.0,0.0002505360503208,0.0002291189908951,0.0004690464814405,0.0004976519120166,0.0002352870436592,0.0002604971356131,0.0001527455530913,0.0002381985311743
7,GOOD GAME GG EZ,EUW,Challenger,1132,235,56.8,6.4,5.3,7.0,1.0027260307513657,0.0002135138816949,0.0002291189908951,0.0003597943632269,1.0,0.0002849220188919,0.0003316964978295,0.000413821951977,0.0003847852867875,9.478751090124392e-05,0.0004135902491612
8,Hide on bush,KR,GrandMaster,542,4736,52.5,5.4,4.2,6.4,1.0026849164164524,1.0,0.0006466872639594,0.0002109814116451,0.0002135138816949,0.0003741935267267,0.0004529738164017,0.000201052640631,0.000212276774392,0.0001693092943502,0.0002039278066509
9,Disabled Chattt,EUW,Master,428,10318,49.7,5.2,4.1,6.1,1.0010605326354405,0.0001693092943502,0.0001527455530913,9.887539560539538e-05,9.478751090124392e-05,0.0001264848334834,0.0001279675207388,9.561102170662202e-05,9.857975301640416e-05,1.0,9.617175254666328e-05
