nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
FNC Hylissang,Annie,81,2.4,6.2,14.7,59.7,Rakan,42,1.6,4.7,15.5,59.3,Rell,62,1.6,5.5,15.0,71.4,1.0070841576859948
Targamas,Senna,52,4.3,4.5,13.0,58.9,Ashe,23,2.6,5.0,13.4,58.9,Pyke,22,6.9,4.4,10.9,61.7,1.007058836748327
TL Honda CoreJJ,Ashe,54,3.3,6.3,14.0,57.1,Heimerdinger,144,3.5,5.7,9.0,45.0,Karma,731,2.9,4.8,14.2,52.6,1.0041493341290255
school phobia,Ashe,6,2.8,5.0,14.3,60.4,Karma,16,2.5,4.0,13.9,68.0,Nautilus,539,1.1,6.6,13.4,45.8,1.0036118132471488
Vulcan 01,Ashe,122,3.2,5.8,13.4,52.0,Thresh,1847,1.2,4.7,13.0,52.6,Heimerdinger,1169,2.7,4.4,7.4,33.3,1.002539815315669
KC Leona,Heimerdinger,411,3.5,5.8,10.5,60.0,Nautilus,178,1.6,5.9,12.1,43.3,Ashe,1499,3.4,7.6,14.4,48.3,1.0020609371296094
mersa777,Rakan,191,2.2,4.5,20.5,84.6,Ashe,538,2.3,5.0,12.7,58.3,Nautilus,4440,1.7,6.2,16.5,90.9,1.001662857375928
역천괴,Ashe,926,2.4,5.9,15.1,54.8,Caitlyn,831,4.6,6.8,9.2,57.9,Karma,3196,2.5,2.9,12.5,75.0,1.0011730129095529
Zaunite Mylo,Rakan,1928,2.2,4.8,18.5,59.5,Karma,17273,2.9,4.8,14.9,48.1,Ashe,459,2.9,6.2,15.5,61.5,1.0004137301753704
twtv rocks908,Nautilus,34,1.4,5.5,13.0,57.0,Bardo,15,1.9,5.2,14.0,55.7,Lulu,29,1.2,4.2,13.0,58.5,0.0163781340412894
thominhas,Karma,38,3.0,5.0,12.9,61.7,Heimerdinger,14,4.3,6.4,11.2,55.8,Pyke,23,4.6,6.7,11.1,48.8,0.0125094596163606
zenbokorosn,Pyke,53,4.4,5.9,9.4,53.7,Blitzcrank,77,1.4,5.2,15.3,63.4,Soraka,129,1.6,3.6,14.6,62.5,0.0115064619616945
SharkNad0,Ashe,72,3.2,6.3,14.2,50.9,Karma,40,3.0,6.7,14.5,62.9,Lulu,79,2.1,4.6,15.9,66.7,0.0112827718485452
小西寶寶A,Nautilus,6,1.9,4.3,15.5,74.3,Thresh,7,1.7,3.1,15.2,75.8,Alistar,19,1.5,4.0,15.2,73.9,0.010205571602077
et pas une autre,Pyke,2,5.4,4.8,10.7,56.8,Karma,16,2.8,3.9,14.5,62.2,Ashe,6,3.0,4.4,12.5,58.3,0.0100734034218796
C9 Zven,Nautilus,58,1.7,6.3,12.2,45.1,Rakan,89,2.0,3.8,12.7,50.0,Heimerdinger,190,4.2,5.1,9.3,63.0,0.0099214847148675
dtro1,Karma,92,2.0,4.3,11.9,55.3,Nautilus,40,1.6,6.0,15.3,50.0,Nami,98,1.9,3.5,16.1,66.7,0.0092262781833908
Gmandlife,Blitzcrank,65,1.6,5.9,14.1,58.6,Thresh,16,1.4,4.6,13.9,64.5,Karma,6,2.0,3.5,11.4,48.9,0.009119386929061
You,Rakan,15,2.0,3.5,15.0,64.5,Karma,3,2.4,3.0,14.1,68.9,Ashe,5,2.6,4.0,12.4,57.5,0.0088428804601711
RIV kshhh,Nautilus,104,1.7,4.9,13.1,56.7,Karma,8,1.7,4.3,13.5,52.4,Rakan,37,1.9,3.8,16.8,67.9,0.0085015296647936
aRwinGü,Annie,3,2.8,4.3,14.9,77.4,Olaf,1,5.8,4.7,4.7,58.7,Nautilus,13,1.7,4.8,12.9,62.1,0.0080755257473388
Pockus,Rakan,79,1.6,3.4,13.5,54.5,Karma,37,1.8,4.4,12.5,55.2,Ashe,22,2.5,4.7,11.7,57.6,0.0079061589546682
Feliaaa,Karma,2,1.7,6.1,13.3,38.1,Rakan,18,1.1,5.4,17.4,67.7,Ornn,4,3.0,5.1,7.8,46.4,0.0077979504140818
Kick a boo,Pyke,46,8.0,3.8,10.6,71.9,Twitch,27,8.0,5.8,9.9,66.7,Annie,718,3.0,3.9,13.4,58.3,0.0076707815906579
bountyyspider,Nautilus,20,2.0,5.6,14.2,54.3,Lux,23,2.9,5.8,12.7,47.6,Ashe,226,3.2,6.0,15.2,64.9,0.0076431377820964
Isles1,Ashe,14,2.2,3.9,14.5,63.1,Karma,7,2.2,3.2,11.6,52.5,Nautilus,114,1.6,4.5,13.4,54.1,0.0075672090881706
Procurando Nami,Sona,24,2.8,3.9,15.4,62.0,Nami,2,3.0,3.8,16.0,57.5,Seraphine,12,2.8,3.4,11.6,56.8,0.0074391869546876
FUR Manel,Ashe,73,3.0,4.7,12.8,63.3,Pyke,4,5.9,5.4,10.8,66.7,Kai'Sa,126,8.2,4.8,6.4,73.7,0.0073687236036077
Thumbs Down,Pyke,13,7.3,5.5,9.9,61.5,Ashe,15,2.5,5.3,13.4,63.1,Karma,11,2.5,5.2,16.5,65.1,0.0073265138419774
Vitu 9,Ashe,136,2.2,5.4,12.7,57.5,Karma,10,1.9,5.5,14.2,56.7,Thresh,29,1.7,5.6,13.8,45.7,0.0073028239708699
Twitchtv Crecre,Rell,29,1.7,5.1,17.0,63.0,Lulu,1,2.6,4.8,14.9,58.3,Zilean,4,2.0,5.3,16.1,56.7,0.0072926055012159
Breezyyy,Ashe,76,2.1,5.8,11.9,45.1,Rakan,81,1.9,4.3,14.4,70.2,Alistar,2,1.6,4.5,13.5,66.7,0.0072170909582588
bddst shp,Ashe,7,2.8,4.4,13.7,64.5,Karma,27,2.6,3.6,15.0,62.5,Nami,11,1.5,3.6,14.9,47.6,0.0070919297242607
shibidi bob yes,Pyke,61,6.9,4.2,8.9,61.5,Nautilus,56,2.0,4.1,14.6,69.4,Ashe,43,4.3,4.5,10.9,62.5,0.0070306834125676
INTZ Nia,Ashe,18,2.7,7.1,13.1,49.1,Nami,52,1.7,5.5,17.3,60.0,Pyke,264,6.4,7.6,10.5,53.3,0.0069249344882012
ReturnOfTheΚing,Heimerdinger,191,2.4,5.5,9.7,60.9,Nami,12,1.6,4.2,16.1,63.9,Ashe,15,2.3,6.8,13.4,50.0,0.0069230839150322
weixin7777777,Ashe,12,3.2,4.6,11.5,48.3,Nautilus,178,1.7,4.5,11.5,65.4,Karma,93,2.7,4.0,13.8,73.7,0.006921119826505
Liberty Momochi,Ashe,23,2.9,5.2,15.6,61.3,Pyke,121,6.0,6.2,10.9,65.0,Nami,202,2.2,3.0,21.6,75.0,0.0068658041014403
xooos,Ashe,55,2.8,4.0,12.6,54.8,Rakan,296,2.4,3.5,16.2,76.9,Varus,56,6.3,5.7,10.9,61.1,0.0068449208820824
ProDelta,Nautilus,13,1.9,5.5,14.8,75.6,Lux,2,4.1,6.9,15.3,64.7,Nami,160,2.4,5.2,17.2,64.7,0.0068018599738938
Down Kim,Ashe,27,2.6,5.1,13.1,71.1,Nautilus,4,1.8,5.8,11.5,45.2,Thresh,395,1.8,4.8,13.7,56.7,0.00673997929588
vvx1585410146,Seraphine,13,3.6,4.1,11.0,48.6,Sona,15,1.8,4.8,14.2,69.6,Soraka,11,1.2,4.6,14.2,71.4,0.0067216074342806
DeadVinland,Ashe,191,4.1,6.7,14.2,60.0,Heimerdinger,7,4.3,5.6,9.4,53.2,Pyke,26,8.1,7.1,9.4,53.7,0.0067044726054281
scamber,Ashe,173,3.1,7.5,14.4,44.0,Heimerdinger,77,3.2,6.3,10.6,54.2,Nautilus,161,2.0,5.5,14.0,52.2,0.0066037959482871
V Julius Caesar,Rakan,33,1.8,4.4,17.2,82.1,Karma,1,2.6,5.4,14.2,52.5,Thresh,434,2.0,4.3,16.7,82.6,0.0065703328468736
kStars Telas,Ashe,10,3.0,6.3,14.0,51.0,Rakan,47,2.1,4.2,17.6,70.6,Karma,41,2.4,5.4,14.3,48.4,0.006554800836028
Chu성훈,Pyke,4,5.1,4.4,9.6,59.7,Blitzcrank,16,1.9,4.7,13.8,57.9,Ashe,39,1.8,4.9,11.9,58.5,0.0065328903039796
Riiquee,Lux,154,5.5,4.7,11.7,57.9,Nami,151,2.3,3.6,18.5,69.0,Soraka,136,1.4,2.7,13.9,89.5,0.0064794676700277
paiN Damage1,Ashe,58,2.2,6.3,14.4,58.6,Heimerdinger,226,3.2,5.9,9.7,55.6,Nautilus,379,2.1,4.7,14.6,50.0,0.0063742607850949
Lekcyc,Rakan,35,1.5,3.9,14.5,68.3,Blitzcrank,5,2.5,5.3,16.6,68.4,Leona,438,1.8,4.4,13.0,71.4,0.0062351881114464
M1nit,Ashe,9,2.1,5.0,12.6,47.5,Nami,58,1.6,3.1,13.4,60.5,Karma,51,2.1,3.8,13.2,51.7,0.0061561717624542
Jan D Banan,Annie,102,2.4,3.9,12.0,71.4,Karma,82,2.4,4.4,15.5,69.0,Nautilus,396,1.5,6.2,14.7,50.0,0.0061204644173089
Messages Sup Acc,Karma,110,2.2,5.8,13.6,63.8,Ashe,2,3.4,7.5,15.5,58.3,Rumble,476,4.9,8.1,10.6,42.9,0.0061155945360181
ACKÈRMAN,Ashe,5,3.3,5.0,11.7,61.9,Thresh,70,1.8,3.4,15.0,62.5,Nautilus,292,1.4,4.8,14.7,65.2,0.0060375938691575
P1ng,Nautilus,286,1.4,4.3,12.2,54.3,Alistar,23,1.4,3.7,13.1,49.4,Lulu,18,1.0,3.8,12.9,44.2,0.0059110089857956
KT Way,Ashe,5,3.1,4.0,14.0,66.7,Lux,56,3.2,4.6,13.5,62.5,Nami,157,2.2,3.3,15.4,59.3,0.0058925233917729
FX Jojinho,Nami,97,2.5,3.1,16.8,73.9,Annie,236,3.7,3.2,18.3,75.0,Karma,119,3.5,3.5,14.1,58.8,0.0058908098903713
Benvi,Nautilus,14,1.7,5.7,12.3,61.9,Ashe,23,2.4,5.6,10.3,40.0,Heimerdinger,204,3.3,7.2,10.0,63.2,0.0058798200201164
RISE Wosz,Heimerdinger,160,3.5,3.8,10.0,67.6,Annie,15,2.2,3.5,13.8,71.0,Zac,66,4.0,3.9,12.5,58.8,0.005871659375852
BOC tufi,Ashe,124,2.8,5.5,13.4,61.0,Annie,5,2.9,6.7,17.5,70.8,Pyke,139,6.4,6.3,8.9,55.6,0.0058319711295201
QQ LOVE,Ashe,74,2.3,4.3,11.5,54.2,Karma,82,2.4,3.3,13.0,67.7,Annie,1,2.6,4.5,12.0,50.0,0.0058255606644739
Shoiti,Rakan,137,2.2,4.6,17.7,62.7,Pyke,6,5.7,5.5,7.0,53.3,Sona,674,2.2,5.5,14.2,45.5,0.0057751421774736
RNG Ming 9,Rakan,82,2.1,4.2,15.5,59.0,Taric,52,2.5,5.7,13.4,60.0,Sona,273,2.3,5.6,18.4,70.6,0.0057661450937732
scuro,Lee Sin,47,9.3,4.3,10.0,70.4,Caitlyn,138,7.4,5.4,9.4,65.0,Heimerdinger,647,4.4,6.0,9.7,45.0,0.0057528478717873
sup momochi,Ashe,193,2.6,4.7,14.6,57.9,Karma,80,2.9,5.0,17.9,65.0,Nami,405,2.1,4.2,18.2,61.1,0.0057519650465746
Rascal,Ashe,109,3.3,7.0,12.5,56.3,Heimerdinger,54,5.1,7.0,9.4,51.0,Pyke,52,6.5,5.5,9.2,66.7,0.0057114604763955
Cosboat,Rakan,98,1.3,3.9,12.9,61.3,Heimerdinger,152,2.6,5.2,10.1,60.0,Nautilus,840,1.3,4.5,14.4,69.2,0.0056625142557829
ttv donbraylol,Nautilus,42,2.4,5.8,14.5,58.3,Rakan,307,1.9,5.1,16.2,55.6,Ashe,616,3.8,5.6,14.8,70.6,0.0056573207238123
Advienne,Ashe,317,3.7,5.5,12.7,58.7,Nautilus,44,2.0,4.8,10.5,51.0,Annie,125,2.8,4.4,14.0,71.0,0.0056061453496663
PinkMin v2,Annie,170,2.1,5.1,14.8,66.7,Karma,10,1.9,4.0,13.1,50.0,Ashe,685,3.2,5.4,13.7,56.7,0.0055599484846136
Donna Hamilton,Ashe,154,2.3,5.3,12.3,58.7,K'Sante,88,4.7,4.6,6.9,55.6,Annie,510,3.0,5.7,14.0,76.2,0.00551535910016
Dam ADC,Ashe,240,2.7,5.8,13.5,62.3,Karma,13,2.3,4.9,13.1,54.5,Pyke,827,5.8,6.7,11.3,55.2,0.0054804470130609
Cl0x2227,Ashe,219,2.3,5.1,12.6,57.4,Rakan,71,1.9,3.9,17.4,65.9,Annie,104,4.0,5.6,16.1,70.8,0.00547903502438
사람 안 믿어,Pyke,40,4.6,5.8,9.1,61.8,Karma,14,1.9,5.5,10.7,53.6,Nautilus,1034,1.5,6.3,15.9,61.5,0.00540001096101
SnowFlow2r,Annie,1,3.0,5.0,14.5,69.2,Twitch,4,7.6,7.7,9.6,58.0,Jhin,11,5.0,5.6,10.7,52.8,0.0053879214044104
LOUD Ceos,Heimerdinger,8,4.4,6.1,11.4,62.5,Ashe,36,3.3,5.3,15.1,73.1,Varus,98,6.0,6.2,7.0,40.0,0.0053595519038124
TSM Chime,Ashe,151,4.0,4.6,16.3,79.2,Lux,86,3.1,5.0,12.6,71.4,Karma,305,2.9,3.8,12.6,61.9,0.0053473201913193
coldxn,Pyke,164,6.2,6.2,9.5,52.3,Thresh,91,2.0,5.2,15.3,57.3,Ashe,59,3.0,5.6,11.9,55.6,0.0052728019779708
kylie jenner,Lulu,12,1.8,4.7,16.5,57.5,Nami,134,2.2,5.3,17.5,63.5,Janna,3,0.9,5.1,19.0,69.7,0.005268320104286
05222001,Ashe,108,4.0,6.9,11.8,40.4,Caitlyn,142,5.7,7.0,7.4,54.8,Yuumi,603,1.4,4.0,11.8,52.2,0.0052661355242055
Hantera,Ashe,228,2.7,5.4,12.6,53.6,Karma,84,2.4,3.2,11.0,59.3,Thresh,820,1.6,4.6,15.3,68.0,0.0052488831617528
ψτροφήψ,Blitzcrank,206,2.6,4.4,13.8,69.8,Pyke,23,5.3,5.1,8.5,40.0,Nautilus,1065,1.5,5.1,12.4,54.5,0.005247081137827
Smoothie,Nautilus,172,1.7,5.3,13.9,65.5,Nami,160,1.7,4.2,13.3,51.9,Pyke,588,5.7,4.5,9.5,59.1,0.005200152932695
