nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
FNC Hylissang,EUW,Challenger,1055,358,54.5,2.2,5.7,12.7,1.0070841576859948
Targamas,EUW,Challenger,1135,225,54.2,3.4,4.6,12.5,1.007058836748327
TL Honda CoreJJ,EUW,Challenger,1059,350,54.3,3.0,5.7,11.8,1.0041493341290255
school phobia,EUW,Challenger,1416,43,57.7,2.5,4.9,13.7,1.0036118132471488
Vulcan 01,EUW,Challenger,921,731,56.1,2.8,4.9,12.4,1.002539815315669
KC Leona,EUW,GrandMaster,769,2925,53.5,2.8,5.5,12.2,1.0020609371296094
mersa777,EUW,Challenger,902,806,57.1,2.4,5.0,12.5,1.001662857375928
역천괴,KR,GrandMaster,399,6573,51.7,3.9,6.2,10.1,1.0011730129095529
Zaunite Mylo,EUW,Master,416,10528,54.6,2.7,5.4,15.4,1.0004137301753704
twtv rocks908,EUW,Challenger,1147,187,53.7,1.7,5.3,12.8,0.0163781340412894
thominhas,BR,Challenger,1209,133,53.9,2.9,6.0,13.5,0.0125094596163606
zenbokorosn,KR,Challenger,1005,427,54.4,2.7,5.7,11.4,0.0115064619616945
SharkNad0,BR,Challenger,1085,276,53.9,3.5,6.1,12.5,0.0112827718485452
小西寶寶A,TW,Challenger,1127,219,61.3,3.4,4.4,11.9,0.010205571602077
et pas une autre,VN,Challenger,1000,456,55.5,3.6,4.3,12.4,0.0100734034218796
C9 Zven,EUW,Challenger,1090,268,52.2,2.9,5.1,11.0,0.0099214847148675
dtro1,EUW,Challenger,970,522,53.5,2.1,4.9,13.7,0.0092262781833908
Gmandlife,EUW,Challenger,1021,381,52.5,2.1,5.0,11.7,0.009119386929061
You,LAS,Challenger,1118,231,62.1,2.6,3.7,13.3,0.0088428804601711
RIV kshhh,BR,Challenger,962,547,56.6,1.9,4.5,13.7,0.0085015296647936
aRwinGü,TW,Challenger,1304,80,58.5,3.9,4.8,10.4,0.0080755257473388
Pockus,EUW,Challenger,976,505,52.5,2.1,4.5,11.8,0.0079061589546682
Feliaaa,SG,Challenger,1329,68,55.9,2.0,6.2,13.7,0.0077979504140818
Kick a boo,BR,Challenger,1154,182,56.9,4.7,4.0,11.1,0.0076707815906579
bountyyspider,BR,Challenger,1314,73,54.4,2.9,5.4,13.7,0.0076431377820964
Isles1,EUW,Challenger,1355,52,55.4,2.0,3.9,14.0,0.0075672090881706
Procurando Nami,BR,Challenger,1326,69,53.1,2.8,4.1,13.7,0.0074391869546876
FUR Manel,BR,Challenger,1078,285,56.5,4.7,5.2,11.2,0.0073687236036077
Thumbs Down,EUW,Challenger,1395,44,57.2,3.7,5.2,12.9,0.0073265138419774
Vitu 9,BR,Challenger,973,517,53.9,2.2,5.4,12.8,0.0073028239708699
Twitchtv Crecre,LAN,Challenger,925,644,52.6,2.2,5.2,14.5,0.0072926055012159
Breezyyy,EUW,Challenger,935,613,54.3,2.3,5.1,12.0,0.0072170909582588
bddst shp,RU,Challenger,978,503,58.9,4.5,4.1,11.3,0.0070919297242607
shibidi bob yes,EUW,Challenger,1005,432,58.5,4.6,4.8,11.4,0.0070306834125676
INTZ Nia,BR,Challenger,1354,53,54.7,3.6,6.5,12.7,0.0069249344882012
ReturnOfTheΚing,EUW,Challenger,978,501,55.3,2.1,5.3,12.9,0.0069230839150322
weixin7777777,OCE,Challenger,928,634,53.3,3.7,4.8,9.6,0.006921119826505
Liberty Momochi,BR,Challenger,1301,81,58.9,3.2,4.8,15.0,0.0068658041014403
xooos,BR,Challenger,1119,231,55.1,4.1,5.2,13.5,0.0068449208820824
ProDelta,BR,Challenger,1427,32,55.4,2.6,5.9,14.0,0.0068018599738938
Down Kim,EUW,Challenger,1250,101,54.4,2.6,5.2,12.1,0.00673997929588
vvx1585410146,OCE,Challenger,981,498,56.1,3.4,5.0,12.9,0.0067216074342806
DeadVinland,BR,Challenger,917,679,56.3,4.5,6.0,11.9,0.0067044726054281
scamber,BR,Challenger,929,634,53.1,2.6,5.9,14.5,0.0066037959482871
V Julius Caesar,EUW,Challenger,1207,137,60.2,2.5,5.5,13.8,0.0065703328468736
kStars Telas,BR,Challenger,1351,55,54.9,4.0,5.7,13.7,0.006554800836028
Chu성훈,KR,Challenger,1310,75,54.4,3.1,4.6,11.4,0.0065328903039796
Riiquee,BR,Challenger,946,578,56.4,3.0,4.8,13.5,0.0064794676700277
paiN Damage1,BR,Challenger,1084,277,58.5,2.9,5.5,13.8,0.0063742607850949
Lekcyc,EUW,Challenger,1202,143,62.9,2.0,4.1,13.9,0.0062351881114464
M1nit,EUW,Challenger,1459,24,56.0,2.7,4.5,12.4,0.0061561717624542
Jan D Banan,EUW,Challenger,1034,355,59.1,2.3,4.9,13.6,0.0061204644173089
Messages Sup Acc,EUW,Challenger,997,466,60.1,2.6,6.6,13.9,0.0061155945360181
ACKÈRMAN,EUW,Challenger,1470,23,57.3,3.3,4.7,12.5,0.0060375938691575
P1ng,EUW,Challenger,919,671,52.0,1.5,3.8,12.4,0.0059110089857956
KT Way,KR,Challenger,1243,108,58.5,2.6,4.4,13.2,0.0058925233917729
FX Jojinho,BR,Challenger,1026,372,61.0,3.1,3.9,15.3,0.0058908098903713
Benvi,OCE,Challenger,908,732,54.5,3.3,5.7,11.9,0.0058798200201164
RISE Wosz,BR,Challenger,942,594,54.8,2.6,4.6,12.5,0.005871659375852
BOC tufi,BR,Challenger,911,723,54.0,3.6,6.3,13.1,0.0058319711295201
QQ LOVE,KR,Challenger,902,748,54.8,2.4,4.4,11.9,0.0058255606644739
Shoiti,BR,Challenger,994,475,55.6,3.2,5.3,13.0,0.0057751421774736
RNG Ming 9,BR,Challenger,911,724,51.5,3.3,5.6,12.4,0.0057661450937732
scuro,BR,Challenger,1252,99,54.3,5.9,5.3,10.4,0.0057528478717873
sup momochi,BR,Challenger,916,685,57.1,3.4,5.2,14.5,0.0057519650465746
Rascal,KR,Challenger,880,828,54.9,3.8,6.2,10.6,0.0057114604763955
Cosboat,EUW,Challenger,1010,416,58.2,2.2,4.5,12.5,0.0056625142557829
ttv donbraylol,EUW,Challenger,1114,242,62.1,3.1,5.3,13.6,0.0056573207238123
Advienne,EUW,Challenger,885,808,54.0,3.1,4.9,11.8,0.0056061453496663
PinkMin v2,EUW,Challenger,910,728,55.3,2.1,4.9,13.6,0.0055599484846136
Donna Hamilton,EUW,Challenger,906,736,55.1,4.0,5.2,9.0,0.00551535910016
Dam ADC,EUW,Challenger,919,673,54.4,3.5,5.7,11.9,0.0054804470130609
Cl0x2227,EUW,Challenger,878,833,56.6,2.4,4.6,13.2,0.00547903502438
사람 안 믿어,KR,Challenger,1010,413,55.5,2.8,5.5,10.8,0.00540001096101
SnowFlow2r,KR,Challenger,1398,43,58.7,4.0,5.8,12.1,0.0053879214044104
LOUD Ceos,BR,Challenger,1509,17,57.4,3.5,5.3,12.6,0.0053595519038124
TSM Chime,EUW,Challenger,874,852,52.1,2.7,4.9,12.0,0.0053473201913193
coldxn,EUW,Challenger,920,664,52.5,4.3,5.5,11.3,0.0052728019779708
kylie jenner,TR,Challenger,875,850,60.6,1.8,4.8,17.0,0.005268320104286
05222001,EUW,Challenger,900,759,51.7,4.0,6.0,12.0,0.0052661355242055
Hantera,EUW,Challenger,905,746,54.6,2.5,5.0,12.4,0.0052488831617528
ψτροφήψ,EUW,Challenger,912,716,56.8,2.9,4.9,12.0,0.005247081137827
Smoothie,EUW,Challenger,871,861,52.6,2.7,4.7,12.4,0.005200152932695
printer break,EUW,Challenger,908,730,53.4,2.7,5.2,13.2,0.0051841701657588
YoojungHukiriLee,EUW,Challenger,880,828,58.7,2.5,4.9,13.1,0.0051793770443478
Douzheng,EUW,Challenger,847,946,52.7,2.6,5.9,12.1,0.0051380020404226
donkey gap,EUW,Challenger,876,848,56.8,2.4,3.9,13.9,0.0051112306060718
Garrett Meyerson,EUW,Challenger,873,854,51.9,2.1,3.7,12.2,0.0050468052837341
Armored Mawdad,EUW,Challenger,840,968,52.4,2.0,4.9,13.3,0.0050241382771557
BioPanther,OCE,Challenger,1700,6,57.4,4.9,4.3,9.5,0.0050053347111906
슈퍼히어로6,KR,Challenger,850,935,63.3,2.3,4.4,13.2,0.0049872452722958
MaioLex,BR,Challenger,925,643,51.7,4.8,4.7,10.9,0.0049783824248213
frosty,BR,Challenger,1760,3,57.7,5.1,5.0,12.4,0.0049428674032039
raw outlaw,EUW,Challenger,861,898,54.5,3.4,5.8,12.1,0.0048975159288883
DK Loopy,KR,Challenger,823,1026,54.0,2.6,4.7,11.5,0.0048588048740159
Colchønsito,LAS,Challenger,841,973,57.7,4.3,5.3,11.7,0.0048133521947923
winter,EUW,Challenger,817,1046,54.1,2.1,5.4,13.0,0.0047667348512862
4321455213123,EUW,Challenger,1410,39,62.1,2.8,4.2,14.3,0.0047291360452106
FA Zodiac,VN,Challenger,808,1083,55.9,2.5,6.1,14.4,0.0047286128307244
pienso,LAN,Challenger,813,1063,53.2,2.4,5.6,12.9,0.0047199961772006
Airobloodin,RU,Challenger,1102,255,60.6,1.9,4.4,12.8,0.0047103818182859
Airobloodin,RU,Challenger,1102,255,60.6,2.4,4.0,13.1,0.0047103818182859
Airobloodin,RU,Challenger,1102,255,60.6,2.4,4.0,13.1,0.0047084727747785
Airobloodin,RU,Challenger,1102,255,60.6,1.9,4.4,12.8,0.0047084727747785
picapicaa,EUW,Challenger,814,1057,51.8,1.6,4.2,12.7,0.0046825776424173
Mixtsure,EUW,Challenger,829,1008,55.2,3.3,4.3,10.2,0.0046559760311995
beansu,EUW,Challenger,839,974,55.5,2.2,4.3,12.3,0.0045999065540878
다이아몬드,EUW,Challenger,808,1082,52.8,2.5,4.8,12.6,0.004589831358753
Harunohi,TW,Challenger,814,1059,59.0,2.0,4.3,12.6,0.0045342378781475
zlaksd,EUW,Challenger,923,657,56.5,2.2,4.2,11.6,0.004514014063851
Path To LCS,EUW,Challenger,835,991,54.7,2.3,4.3,12.8,0.0044949156400825
JKG Qu1z,BR,Challenger,912,717,53.2,3.4,5.4,12.2,0.0044706134624043
100 Busio,EUW,Challenger,810,1076,56.9,5.3,5.1,11.6,0.0044485347331033
El Camino provee,EUW,Challenger,875,851,57.9,2.9,5.0,12.2,0.0044447997999347
Que bendición,EUW,Challenger,811,1072,53.8,1.9,4.5,13.4,0.0044369524353512
kevinnguyensocal,EUW,Challenger,785,1168,55.4,2.4,4.7,11.6,0.0044296797596792
999 1v9 L9 69 v9,EUW,Challenger,820,1036,53.2,2.7,5.5,11.0,0.0044267010184225
LooserQ Member,RU,Challenger,794,1135,50.0,2.2,5.7,11.5,0.0043871542854095
nyshotytskazat,RU,Challenger,793,1139,57.6,4.1,5.6,10.9,0.0043531003477742
Nmcp,LAS,Challenger,789,1156,55.1,6.4,6.0,9.3,0.004317587518278
lisan hehe,LAS,Challenger,797,1125,62.4,7.0,4.4,8.2,0.0043081746686548
uZent,BR,Challenger,1001,453,55.6,2.1,4.4,13.8,0.0042029038062144
Zyko,EUW,Challenger,748,1329,51.7,2.9,5.2,12.5,0.004107850208084
СВЕКЛОВИЧНЫЙ ЖОМ,RU,Challenger,832,1003,54.8,5.0,4.7,10.4,0.004101282004637
Amaboutakum,EUW,Challenger,753,1301,52.8,3.7,5.6,11.8,0.0040846447224065
LANZIQUEEN,TH,Challenger,769,1222,56.5,4.0,5.2,13.2,0.0040714784794475
KDF Andil,KR,Challenger,837,990,64.8,2.2,4.8,13.4,0.0040708863590303
SHOP MRBEAST,EUW,Challenger,746,1338,54.7,2.6,5.3,12.5,0.0040634175108125
DongerValenz,LAS,Challenger,754,1299,56.3,3.4,5.2,9.1,0.0040483265853984
sxtxt supp acc,EUNE,Challenger,752,1307,57.5,3.5,5.0,13.5,0.0040106320081454
Swkeeee,EUW,Challenger,835,995,63.9,1.6,2.7,13.5,0.0040017315300468
Echte Liebe,BR,Challenger,913,711,60.9,5.1,5.4,12.7,0.0039986476340825
amphy,EUW,Challenger,782,1178,58.4,4.0,5.1,10.8,0.0039985776775069
Locura y MaIdad,LAS,Challenger,753,1303,57.2,4.1,4.3,11.2,0.0039982423156735
14675242,EUW,Challenger,731,1390,57.3,2.0,4.8,13.6,0.003964614572961
DDDORIAN,KR,Challenger,733,1378,54.1,2.4,3.8,11.2,0.0039484409153743
Noa love Brazil,BR,Challenger,1003,439,52.7,3.6,4.6,11.3,0.0039460533229433
Hi Hyung,SG,Challenger,742,1352,55.1,1.8,4.7,14.2,0.0039081787339532
dfm1,KR,Challenger,700,1530,59.0,2.6,5.6,13.1,0.0038823357109287
love engage,OCE,Challenger,744,1346,52.2,1.9,4.8,13.1,0.0038667114223895
Nebulim,PH,Challenger,716,1453,55.5,3.0,4.9,12.7,0.0038132202750996
Bengali Tiger,VN,Challenger,677,1608,56.2,3.4,4.2,11.6,0.003782245837524
1MightyTeke3,OCE,Challenger,708,1488,52.8,2.6,5.5,11.6,0.0037806403456105
Z Score,EUW,Challenger,751,1312,53.2,3.1,4.9,11.9,0.003779221241803
미니웅즈,KR,Challenger,728,1394,52.2,2.1,5.6,12.3,0.0037752033090453
칸쵸빌런,KR,Challenger,726,1409,52.2,2.2,5.7,11.7,0.0037715494436016
MarceSato,LAS,Challenger,1000,459,56.5,2.7,4.4,11.7,0.0037638150696838
Manycpyfjtjkyxf,KR,Challenger,671,1637,54.7,2.8,4.6,12.1,0.0037429797850813
Amor eres tu,LAN,Challenger,714,1457,61.2,3.6,4.5,12.8,0.0036962918215684
DK Bible,KR,Challenger,782,1169,57.3,2.7,4.8,11.6,0.0036942554759192
Adela Andromeda,EUNE,Challenger,712,1470,59.3,4.3,4.4,11.4,0.0036932330330533
vvxinRio887288,OCE,Challenger,708,1493,61.4,3.1,3.4,12.2,0.0036743019386404
Chcknz,OCE,Challenger,712,1469,53.1,5.4,5.6,8.1,0.0036613634115077
Gen G Namgung,KR,Challenger,673,1623,56.5,2.0,4.0,12.0,0.003631034903401
Cato Mart,LAN,Challenger,721,1424,52.9,2.7,5.5,12.8,0.0036070338171779
Kasing 1,EUW,Challenger,839,980,59.2,2.8,5.0,13.4,0.0035945671268711
수요일은다먹는날,KR,Challenger,666,1658,54.1,2.5,6.3,11.1,0.0035549408914182
Talentoso,LAN,Challenger,679,1596,52.9,2.9,4.6,12.3,0.0035537376987865
UNSECRET,VN,Challenger,691,1557,57.7,4.5,5.0,10.5,0.0035530753396529
Talentoso,LAN,Challenger,679,1596,52.9,2.9,4.6,12.3,0.0035429423024305
Dejmianov,EUNE,Challenger,669,1643,60.4,2.8,5.9,12.8,0.0035237000185516
摯友維尼,TW,Challenger,650,1744,54.5,2.1,3.9,11.9,0.0035011775016707
Renata Enjoyer,LAS,Challenger,998,464,54.1,4.0,5.1,11.9,0.0034929689790247
LLP Gaya,PH,Challenger,727,1405,56.0,3.0,4.8,13.2,0.0034801240429355
NORDKASING,EUW,Challenger,940,603,55.4,2.5,4.5,13.1,0.0034638740628461
Audire,EUNE,Challenger,647,1755,59.8,3.4,5.3,12.1,0.003451912713168
Αshura,EUNE,Challenger,673,1631,62.1,3.0,4.6,13.8,0.0034476589879422
thots,EUNE,Challenger,667,1653,53.6,3.8,5.5,11.6,0.0034403264235828
donbray,EUW,Challenger,1423,35,60.1,2.3,4.7,12.1,0.0034275697868925
TTV Jealowstar,LAN,Challenger,666,1659,53.0,1.4,5.1,14.7,0.0034246086322792
TTV Billyjimi,LAN,Challenger,640,1801,50.8,4.8,4.3,9.4,0.0034238152008844
nataliuauaua,EUNE,Challenger,686,1569,56.8,3.1,4.3,13.0,0.0034196333599461
PDT AskaMoon,LAN,Challenger,646,1758,52.6,2.7,5.5,12.4,0.0033930685969226
THE GIEF,LAS,Challenger,659,1688,51.6,4.8,5.1,8.0,0.0033887206345151
vりんごちゃんv,JP,Challenger,657,1700,56.8,2.4,4.9,13.1,0.0033355015598207
Sunn Mond,LAS,Challenger,648,1750,53.8,5.0,5.7,10.3,0.0033148588953871
Baleada,LAN,Challenger,626,1879,54.1,3.4,5.6,11.8,0.0033132073172445
Pa k juego esto,LAS,Challenger,642,1783,53.6,2.1,4.6,12.9,0.0032980102283702
SALAH 11,BR,Challenger,1083,277,56.5,4.5,5.5,12.5,0.0032975885995849
boba dopa,EUW,Challenger,1063,305,57.1,3.0,4.8,13.3,0.0032874740074148
Brinley,PH,Challenger,632,1843,54.2,2.1,4.2,13.6,0.0032677003593089
Chebi,RU,Challenger,701,1530,52.9,5.9,5.6,9.7,0.0032429478909333
AMT,EUW,Challenger,803,1098,51.1,3.8,5.7,10.8,0.0032408604466947
SEN Ezmoou,LAS,Challenger,556,2252,51.1,3.5,7.2,12.9,0.0032177077081132
鵝鵝小騎士,TW,Challenger,688,1562,53.0,2.9,6.5,11.8,0.0032141251898876
dampiro98,LAS,Challenger,631,1853,58.4,2.8,3.8,13.0,0.0032126456066435
Señorita,LAN,Challenger,651,1733,55.3,4.2,6.6,11.9,0.0032115713882141
ACP 5231,EUNE,Challenger,615,1948,58.1,2.4,4.6,14.0,0.003183278386606
xrzs,KR,Challenger,635,1817,53.5,2.1,4.0,12.1,0.0031830337906817
Lire,PH,Challenger,629,1865,61.7,5.6,5.2,11.1,0.0031763669865341
EXPERT VELKOZ,TR,Challenger,626,1881,67.7,5.6,4.5,9.1,0.003175782442383
ƒïnn,LAN,Challenger,619,1925,55.4,6.2,4.9,10.3,0.0031526771700783
Gakseong,KR,Challenger,678,1601,58.0,2.5,4.3,11.4,0.0031371616860201
PCG PhantomDeath,JP,Challenger,622,1915,56.9,1.6,5.2,13.1,0.0031339249155415
Giselle,TR,Challenger,624,1890,52.6,2.0,3.3,13.0,0.0031298942502143
Pagorex,LAS,Challenger,1424,33,58.0,3.6,4.1,11.6,0.0031267003159849
Ahriana Grande,TR,Challenger,608,1986,55.6,4.3,5.4,11.9,0.0030817885088976
Ryejin,TR,Challenger,620,1912,55.6,5.6,6.6,12.4,0.0030787900305367
