,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,FNC Hylissang,TL Honda CoreJJ,Vulcan 01,역천괴,school phobia,mersa777,Targamas,KC Leona,Zaunite Mylo
0,FNC Hylissang,EUW,Challenger,1055,358,54.5,2.2,5.7,12.7,1.0070841576859948,1.0,0.0007950422662326,0.0003653056282442,0.0001398898183523,0.0005701749256844,0.000224212866934,0.004669072408822,0.000270983155616,4.9476616108896165e-05
1,Targamas,EUW,Challenger,1135,225,54.2,3.4,4.6,12.5,1.007058836748327,0.004669072408822,0.0007807847188048,0.0003585577133299,0.0001371181982161,0.0005798731051811,0.0002214202597236,1.0,0.0002627489465682,4.9261397681035856e-05
2,TL Honda CoreJJ,EUW,Challenger,1059,350,54.3,3.0,5.7,11.8,1.0041493341290255,0.0007950422662326,1.0,0.0005215519059261,0.000146621024172,0.0012578903811132,0.0002601800083405,0.0007807847188048,0.0003373911607338,4.987266370236072e-05
3,school phobia,EUW,Challenger,1416,43,57.7,2.5,4.9,13.7,1.0036118132471488,0.0005701749256844,0.0012578903811132,0.0004693963168325,0.0001375584526779,1.0,0.0002341857799684,0.0005798731051811,0.0003135089677942,4.922531789666035e-05
4,Vulcan 01,EUW,Challenger,921,731,56.1,2.8,4.9,12.4,1.002539815315669,0.0003653056282442,0.0005215519059261,1.0,0.0001564919063183,0.0004693963168325,0.0002639270040832,0.0003585577133299,0.0003502052631123,5.437957782239291e-05
5,KC Leona,EUW,GrandMaster,769,2925,53.5,2.8,5.5,12.2,1.0020609371296094,0.000270983155616,0.0003373911607338,0.0003502052631123,0.0002306956632864,0.0003135089677942,0.0002422281035587,0.0002627489465682,1.0,5.317586893941682e-05
6,mersa777,EUW,Challenger,902,806,57.1,2.4,5.0,12.5,1.001662857375928,0.000224212866934,0.0002601800083405,0.0002639270040832,0.0001665012333144,0.0002341857799684,1.0,0.0002214202597236,0.0002422281035587,5.020212000458666e-05
7,역천괴,KR,GrandMaster,399,6573,51.7,3.9,6.2,10.1,1.0011730129095529,0.0001398898183523,0.000146621024172,0.0001564919063183,1.0,0.0001375584526779,0.0001665012333144,0.0001371181982161,0.0002306956632864,5.813661321496986e-05
8,Zaunite Mylo,EUW,Master,416,10528,54.6,2.7,5.4,15.4,1.0004137301753704,4.9476616108896165e-05,4.987266370236072e-05,5.437957782239291e-05,5.813661321496986e-05,4.922531789666035e-05,5.020212000458666e-05,4.9261397681035856e-05,5.317586893941682e-05,1.0
9,twtv rocks908,EUW,Challenger,1147,187,53.7,1.7,5.3,12.8,0.0163781340412894,0.0040283146136408,0.0007754121702284,0.0003564181600511,0.0001364527975916,0.0005803490583735,0.0002212573619129,0.0099701748197566,0.0002605641105892,4.919094914487331e-05
10,thominhas,BR,Challenger,1209,133,53.9,2.9,6.0,13.5,0.0125094596163606,0.0033418068559379,0.0007918852733532,0.0003580558519194,0.0001355404621191,0.0006012854735311,0.000220629485076,0.0067518086212966,0.000259318070519,4.912952260777824e-05
11,zenbokorosn,KR,Challenger,1005,427,54.4,2.7,5.7,11.4,0.0115064619616945,0.0055394840646827,0.0008048067326637,0.0003715661122942,0.0001417009367993,0.0005624913590723,0.0002281210425596,0.0035327920999571,0.0002758673420295,4.963227163572939e-05
12,SharkNad0,BR,Challenger,1085,276,53.9,3.5,6.1,12.5,0.0112827718485452,0.0043489615732262,0.00086089446752,0.0003725738967608,0.0001388674485853,0.000605274058712,0.0002253205435234,0.0044111565323183,0.0002703336737644,4.9389654134547125e-05
13,小西寶寶A,TW,Challenger,1127,219,61.3,3.4,4.4,11.9,0.010205571602077,0.0034500336426691,0.0007740970574595,0.0003566494954767,0.0001368821112191,0.0005722349062432,0.0002212535271517,0.0043840319310533,0.000261182130347,4.920680045713806e-05
14,et pas une autre,VN,Challenger,1000,456,55.5,3.6,4.3,12.4,0.0100734034218796,0.0045534983519798,0.0007476702979819,0.0003577762641327,0.0001407655868451,0.0005449383147159,0.0002213026795522,0.0031854248784098,0.0002725099243026,4.951712395927236e-05
15,C9 Zven,EUW,Challenger,1090,268,52.2,2.9,5.1,11.0,0.0099214847148675,0.0036497618986789,0.0009044603902615,0.0003831670736216,0.0001396862487103,0.0006146741923943,0.0002311975866681,0.0036760838598084,0.0002729702025402,4.948326218382808e-05
16,dtro1,EUW,Challenger,970,522,53.5,2.1,4.9,13.7,0.0092262781833908,0.0041383766385521,0.0008195982417888,0.000373041799262,0.0001433780500189,0.000561623596202,0.0002273586625171,0.0026311159577414,0.0002820935724718,4.969166483646353e-05
