nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
C9 Fudge,Gragas,530,4.4,3.6,7.3,55.0,Jayce,435,6.6,5.3,5.6,57.9,Jax,1186,6.7,6.3,5.1,46.7,1.0011191506995962
칸 나,Jayce,404,6.2,4.7,5.2,59.3,Jax,40,4.9,3.7,3.6,56.5,Gangplank,1614,6.6,4.3,5.7,70.6,1.0011013343502246
FΙGHT,Lee Sin,29,6.3,4.7,6.7,55.9,Gangplank,385,5.0,5.8,7.4,57.6,Jayce,562,4.5,4.5,4.6,50.0,1.000900064744356
BiIIy Butcher1,Kled,53,6.3,4.0,6.3,66.7,Olaf,140,7.7,5.5,4.6,77.3,Jax,315,4.8,4.5,3.3,59.1,1.00089130656434
Kongenvenderhjem,Jayce,36,6.8,6.1,5.6,73.7,Gangplank,10569,7.0,5.7,6.3,71.4,Fiora,53,5.0,5.6,4.9,50.0,1.0003668794172282
Binsenjokasano,Jax,379,3.5,3.3,3.9,66.0,Lee Sin,8,4.8,3.8,4.1,54.8,Gragas,1580,2.9,3.0,5.6,44.4,0.0031697013154485
BJK Top,Jax,36,4.7,3.6,4.6,65.6,Jayce,320,5.6,4.0,6.2,67.7,Fiora,192,5.5,4.3,4.8,66.7,0.0028692957550227
Gen G Horange,Jayce,405,5.7,6.1,4.1,63.3,K'Sante,649,3.5,3.4,5.1,42.9,Irelia,1611,6.8,5.6,5.3,70.0,0.0027353653332929
미니언14,Jax,443,5.0,3.6,3.7,75.9,Jayce,164,4.5,5.0,4.5,69.2,K'Sante,732,3.6,3.1,4.8,50.0,0.0027303884716052
미니언14,Jax,440,5.0,3.6,3.7,75.9,Jayce,165,4.5,5.0,4.5,69.2,K'Sante,734,3.6,3.1,4.8,50.0,0.0027303884716052
미니언14,Jax,440,5.0,3.6,3.7,75.9,Jayce,165,4.5,5.0,4.5,69.2,K'Sante,734,3.6,3.1,4.8,50.0,0.0027251973288804
미니언14,Jax,443,5.0,3.6,3.7,75.9,Jayce,164,4.5,5.0,4.5,69.2,K'Sante,732,3.6,3.1,4.8,50.0,0.0027251973288804
WoW Peasant,K'Sante,88,5.6,2.8,7.0,69.2,Gragas,26,4.9,3.1,6.5,60.0,Renekton,817,4.2,3.8,4.4,58.8,0.0026772173799859
Dragoon,Gangplank,32,7.2,4.9,5.9,65.9,Jax,39,6.0,5.0,4.3,53.7,Jayce,135,4.8,6.0,4.9,52.0,0.0026614698497601
ACD,Gangplank,53,7.0,6.1,6.0,43.9,Kled,581,4.8,4.2,6.3,68.6,Jax,66,3.7,4.4,4.3,56.7,0.0026187112891086
watermel0n bomb,Jayce,54,8.5,5.4,4.8,70.6,Olaf,249,7.9,5.2,5.5,81.8,Jax,89,9.8,4.4,4.6,80.0,0.0025864288762619
Krenashh,Jax,45,6.1,4.8,4.6,64.6,K'Sante,16,6.5,5.4,7.7,56.5,Jayce,156,5.8,6.6,4.8,47.8,0.0025800096135591
2U35,Jayce,30,5.3,5.9,5.1,61.8,Jax,535,5.8,5.4,3.5,51.7,K'Sante,1078,3.3,4.1,7.2,65.0,0.0025291178319518
IUSBioysb,Jayce,93,6.8,4.9,4.8,58.9,Jax,14,6.2,4.6,3.6,58.6,Aurelion Sol,277,6.9,4.8,7.8,55.6,0.0025079738451337
6K Meaning,Jax,91,4.7,4.9,3.9,55.2,Jayce,423,6.9,5.7,5.6,72.7,Renekton,228,4.1,4.5,5.6,50.0,0.0024937244327231
AutoDlykus,Sett,400,4.9,4.9,4.7,56.5,Mordekaiser,4,5.2,4.9,3.6,47.4,Malzahar,1072,3.8,4.5,7.9,53.8,0.0024430967351448
길길길길기,Jayce,56,5.3,3.7,4.2,55.8,Jax,232,6.2,3.3,4.5,78.3,Fiora,340,3.5,3.7,2.7,40.0,0.0024204840824636
Jauny12,Jax,87,5.2,3.8,4.3,63.9,Fiora,107,4.9,2.7,3.7,61.3,Jayce,192,5.2,4.6,4.9,57.7,0.0024167376842552
kismets,Jax,61,4.3,4.4,3.3,49.4,Renekton,129,4.3,4.3,5.1,66.7,Tryndamere,287,5.3,3.7,3.3,50.0,0.0024045218446811
wellward,Renekton,22,4.4,5.0,5.7,50.0,Fiora,75,5.3,4.4,3.9,63.6,Jayce,108,4.9,5.0,4.8,51.5,0.0023668094825003
Kledie mercury,Kled,9,8.7,6.1,7.6,63.9,Hecarim,3,8.7,6.4,9.0,45.0,Camille,466,6.4,7.2,6.8,53.3,0.0023366933326242
EL RONRONS,Gangplank,4,5.4,5.4,4.6,59.1,Jayce,131,5.5,5.4,4.3,37.8,Jax,828,4.8,3.9,3.9,78.1,0.0023294692134665
i am Shrimp,Jax,202,5.4,5.0,4.0,63.9,Renekton,246,4.6,4.1,5.2,52.6,Tryndamere,690,5.6,4.1,4.3,73.3,0.002318966876774
