nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
C9 Fudge,EUW,GrandMaster,610,4017,54.2,5.7,5.0,5.3,1.0011191506995962
칸 나,KR,GrandMaster,608,4044,55.6,5.6,4.7,4.9,1.0011013343502246
FΙGHT,EUW,Challenger,1230,126,56.7,4.9,4.8,6.2,1.000900064744356
BiIIy Butcher1,EUW,Challenger,1135,226,55.3,5.5,4.8,5.5,1.00089130656434
Kongenvenderhjem,EUW,Challenger,1203,156,59.7,7.1,5.9,5.7,1.0003668794172282
Binsenjokasano,KR,GrandMaster,633,3634,54.4,3.7,3.7,5.2,0.0031697013154485
BJK Top,EUW,Challenger,1271,89,61.5,4.8,4.0,5.8,0.0028692957550227
Gen G Horange,KR,GrandMaster,596,3999,55.2,5.0,5.1,4.9,0.0027353653332929
미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027303884716052
미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027251973288804
WoW Peasant,EUW,Challenger,1029,368,56.3,4.7,3.7,6.0,0.0026772173799859
Dragoon,EUW,Challenger,1201,144,56.0,6.0,4.7,4.8,0.0026614698497601
ACD,EUW,Challenger,1132,214,57.2,4.4,4.8,5.5,0.0026187112891086
watermel0n bomb,BR,Challenger,1136,206,63.2,7.8,4.9,6.0,0.0025864288762619
Krenashh,BR,Challenger,1088,271,55.3,6.1,5.3,5.1,0.0025800096135591
2U35,KR,Challenger,1044,341,58.5,4.9,4.9,5.2,0.0025291178319518
IUSBioysb,BR,Challenger,1060,307,54.1,6.3,4.8,5.3,0.0025079738451337
6K Meaning,EUW,Challenger,971,521,55.8,4.4,5.0,5.3,0.0024937244327231
AutoDlykus,EUW,GrandMaster,606,3869,54.7,4.8,4.9,4.7,0.0024430967351448
길길길길기,KR,Challenger,885,817,56.6,4.5,3.5,4.7,0.0024204840824636
Jauny12,EUW,Challenger,993,479,55.1,4.7,4.0,4.5,0.0024167376842552
kismets,KR,Challenger,942,591,55.5,4.5,4.2,5.1,0.0024045218446811
wellward,EUW,Challenger,1292,83,55.4,4.7,5.0,5.4,0.0023668094825003
Kledie mercury,TR,Challenger,953,563,57.1,7.8,6.6,7.3,0.0023366933326242
EL RONRONS,EUW,Challenger,1499,21,61.2,5.1,4.7,4.9,0.0023294692134665
i am Shrimp,EUW,Challenger,944,585,59.2,4.6,4.6,5.7,0.002318966876774
sigma bean,BR,Challenger,1196,149,56.1,6.5,5.5,5.3,0.0023165127551568
BABO TOP,EUW,Challenger,1102,254,54.5,5.5,4.0,5.8,0.0023151785848117
Faithful Snow,BR,Challenger,1009,419,53.7,4.5,4.3,5.5,0.0023010412674685
Invincible1,BR,Challenger,1022,377,55.3,5.6,5.4,5.7,0.0022957492886579
polo capalot,BR,Challenger,1133,211,53.3,6.1,5.8,5.8,0.0022918771038718
C02Y,EUW,Challenger,905,745,60.1,5.9,5.4,5.6,0.0022595858996752
324142,KR,Challenger,995,473,53.2,4.6,3.8,5.0,0.0022545885138864
invicta23,EUW,Challenger,926,642,52.9,4.4,5.0,6.1,0.0022473927048944
lG YSKM,EUW,Challenger,947,576,56.3,5.0,4.8,4.6,0.0022037194816559
SUPERBEE,EUW,Challenger,909,730,56.5,5.4,4.7,4.5,0.0021870802099076
고구마팬케이크,KR,Challenger,1001,450,54.1,4.7,3.8,5.0,0.0021860291092798
Clover,JP,Challenger,1105,247,63.6,5.2,2.9,7.4,0.002156078816853
농심 레드포,KR,Challenger,1016,394,54.4,5.0,5.2,4.6,0.0021376257916063
Aegis fans,BR,Challenger,1171,166,54.6,6.6,4.8,5.3,0.0021339258371548
optimusty,EUW,GrandMaster,718,3080,58.3,6.9,5.3,4.8,0.0021263709210366
supp roam top,EUW,Challenger,1028,369,52.9,6.7,4.2,4.8,0.0021141438936369
초이통통,KR,GrandMaster,519,4784,60.5,6.3,3.6,6.1,0.002109373069819
świnioujście,EUW,GrandMaster,686,3266,56.1,5.4,4.8,4.6,0.0021009780710899
BoHan,TW,Challenger,963,546,67.0,5.9,3.2,5.9,0.0020968027056024
PI Tobi,EUW,GrandMaster,654,3473,53.7,4.0,3.5,7.2,0.0020924516721959
TOP 07,EUW,Challenger,1016,398,55.8,5.4,4.6,5.9,0.0020771397128751
jx xuyang,KR,Challenger,1006,422,55.5,4.4,5.1,6.5,0.0020770585047719
TL Honda MaRin,EUW,Challenger,995,474,58.3,6.3,4.9,5.8,0.0020721988691569
tyrin777,BR,Challenger,1070,294,54.3,5.3,4.1,4.4,0.002054850005141
NieUfamCiJezu12,EUW,GrandMaster,704,3168,59.3,4.5,5.1,6.4,0.0020389615396208
Lellisz,BR,Challenger,1115,238,53.2,4.8,3.9,5.6,0.0020186132287349
100 Tenacity,EUW,GrandMaster,515,4840,53.1,5.5,4.7,5.4,0.0020184408591569
KT Castle,KR,Challenger,937,610,52.9,5.0,4.7,5.0,0.0020180509649396
Betão 8,BR,Challenger,1231,116,56.0,4.8,4.8,5.0,0.0019985555619657
twitch SAMMU,EUW,GrandMaster,735,3004,53.7,2.8,4.3,10.5,0.0019971206721208
Lantun,LAS,Challenger,1142,198,55.5,5.1,4.3,4.6,0.0019960199002918
Annie IRL,EUW,Challenger,1031,363,52.1,5.1,5.3,5.9,0.0019908631737728
shady mathers,BR,Challenger,1308,77,58.6,7.9,6.8,5.2,0.0019895859276661
Snow Lion,EUW,Challenger,934,616,52.6,5.0,4.8,4.3,0.0019827827064851
soz,EUW,Challenger,1140,201,55.5,5.4,4.0,5.2,0.0019794621196878
goth kızlar dm,TR,Challenger,1391,45,68.4,6.6,4.0,5.6,0.0019767341198507
eYa Bewbiou,EUW,Challenger,1002,445,54.8,4.0,4.1,5.2,0.0019640363400766
리바이 병장,KR,Challenger,818,1049,55.5,5.2,5.7,5.4,0.0019557395517223
