,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Kongenvenderhjem,칸 나,BiIIy Butcher1,C9 Fudge,FΙGHT
0,C9 Fudge,EUW,GrandMaster,610,4017,54.2,5.7,5.0,5.3,1.0011191506995962,8.932573752407339e-05,0.0005632645657321,0.0002470564594542,1.0,0.0002195039368856
1,칸 나,KR,GrandMaster,608,4044,55.6,5.6,4.7,4.9,1.0011013343502246,8.787912820823689e-05,1.0,0.0002101059889578,0.0005632645657321,0.0002400846673265
2,FΙGHT,EUW,Challenger,1230,126,56.7,4.9,4.8,6.2,1.000900064744356,9.800328785604784e-05,0.0002400846673265,0.0003424728522878,0.0002195039368856,1.0
3,BiIIy Butcher1,EUW,Challenger,1135,226,55.3,5.5,4.8,5.5,1.00089130656434,9.167126363984923e-05,0.0002101059889578,1.0,0.0002470564594542,0.0003424728522878
4,Kongenvenderhjem,EUW,Challenger,1203,156,59.7,7.1,5.9,5.7,1.0003668794172282,1.0,8.787912820823689e-05,9.167126363984923e-05,8.932573752407339e-05,9.800328785604784e-05
5,Binsenjokasano,KR,GrandMaster,633,3634,54.4,3.7,3.7,5.2,0.0031697013154485,8.857623504263142e-05,0.0019541763836439,0.0002336737750572,0.0006307528617679,0.0002625220599368
6,BJK Top,EUW,Challenger,1271,89,61.5,4.8,4.0,5.8,0.0028692957550227,9.75427847593356e-05,0.0002301724139233,0.0003131237867451,0.0002088340079071,0.0020196227616877
7,Gen G Horange,KR,GrandMaster,596,3999,55.2,5.0,5.1,4.9,0.0027353653332929,9.245540427328243e-05,0.0015507557108702,0.0002146666070255,0.0006360479297993,0.0002414396813244
8,미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027303884716052,8.871416754257033e-05,0.0005970431242668,0.0002621390019305,0.0015442565173496,0.0002382356605156
9,미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027303884716052,8.870997478553173e-05,0.0005972617304065,0.000262095715182,0.0015388594280889,0.0002382704804174
10,미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027251973288804,8.871416754257033e-05,0.0005970431242668,0.0002621390019305,0.0015442565173496,0.0002382356605156
11,미니언14,KR,GrandMaster,613,3799,60.3,4.6,3.9,4.4,0.0027251973288804,8.870997478553173e-05,0.0005972617304065,0.000262095715182,0.0015388594280889,0.0002382704804174
12,WoW Peasant,EUW,Challenger,1029,368,56.3,4.7,3.7,6.0,0.0026772173799859,9.45319872300507e-05,0.0002608485490651,0.0003337601707405,0.0002310215375101,0.00175705513544
13,Dragoon,EUW,Challenger,1201,144,56.0,6.0,4.7,4.8,0.0026614698497601,9.487807884192196e-05,0.0002355079797013,0.0003585515909293,0.0002184985696151,0.0017540336306722
14,ACD,EUW,Challenger,1132,214,57.2,4.4,4.8,5.5,0.0026187112891086,9.998975240554842e-05,0.0002366972244056,0.0003615415774581,0.0002232511108598,0.0016972316239794
15,watermel0n bomb,BR,Challenger,1136,206,63.2,7.8,4.9,6.0,0.0025864288762619,9.684546469555012e-05,0.0002371823246666,0.0003381272687573,0.0002184302582658,0.0016958435598765
16,Krenashh,BR,Challenger,1088,271,55.3,6.1,5.3,5.1,0.0025800096135591,9.467782549199392e-05,0.00024331039518,0.0003513291932389,0.0002234312854469,0.0016672609142012
17,2U35,KR,Challenger,1044,341,58.5,4.9,4.9,5.2,0.0025291178319518,9.904817520026706e-05,0.0002603551381055,0.0003356229353289,0.000233700588694,0.001600390994623
18,IUSBioysb,BR,Challenger,1060,307,54.1,6.3,4.8,5.3,0.0025079738451337,9.465615219738674e-05,0.0002449901084368,0.0003146300691931,0.0002179589580378,0.0016357385572685
19,6K Meaning,EUW,Challenger,971,521,55.8,4.4,5.0,5.3,0.0024937244327231,9.8419516540379e-05,0.0002578854894352,0.0003292378089479,0.0002329585378819,0.0015752230799176
20,AutoDlykus,EUW,GrandMaster,606,3869,54.7,4.8,4.9,4.7,0.0024430967351448,8.857686268015508e-05,0.0013731075117887,0.0002171507032258,0.0005073942435164,0.0002568674139336
21,길길길길기,KR,Challenger,885,817,56.6,4.5,3.5,4.7,0.0024204840824636,9.234600852717257e-05,0.0002359510795419,0.0014638840324785,0.0002908678322413,0.0003374351296746
22,Jauny12,EUW,Challenger,993,479,55.1,4.7,4.0,4.5,0.0024167376842552,9.54851598276094e-05,0.0002553421416538,0.0003284062922474,0.0002290778610577,0.0015084262294686
23,kismets,KR,Challenger,942,591,55.5,4.5,4.2,5.1,0.0024045218446811,9.559748633030532e-05,0.0002652059417726,0.0003354545547107,0.0002371154912467,0.0014711483706206
24,wellward,EUW,Challenger,1292,83,55.4,4.7,5.0,5.4,0.0023668094825003,9.525324503512814e-05,0.0002278834199159,0.0003081876564298,0.0002056692242257,0.0015298159368936
25,Kledie mercury,TR,Challenger,953,563,57.1,7.8,6.6,7.3,0.0023366933326242,9.444934194617253e-05,0.0002657057125978,0.0003196063640204,0.0002326679860059,0.0014242639280538
26,EL RONRONS,EUW,Challenger,1499,21,61.2,5.1,4.7,4.9,0.0023294692134665,9.546017735438724e-05,0.0002317024797583,0.0002921833246812,0.0002041734334353,0.0015059497982372
27,i am Shrimp,EUW,Challenger,944,585,59.2,4.6,4.6,5.7,0.002318966876774,9.653913875627451e-05,0.0002707253120928,0.000305323363054,0.0002337557357479,0.0014126233271229
28,sigma bean,BR,Challenger,1196,149,56.1,6.5,5.5,5.3,0.0023165127551568,9.473722338562804e-05,0.0002317514003032,0.0003229307489198,0.0002110462603378,0.0014560471222102
29,BABO TOP,EUW,Challenger,1102,254,54.5,5.5,4.0,5.8,0.0023151785848117,9.459148546128717e-05,0.0002383146372012,0.000331907392222,0.0002172229872495,0.0014331420826776
30,Faithful Snow,BR,Challenger,1009,419,53.7,4.5,4.3,5.5,0.0023010412674685,9.482152775610837e-05,0.0002504954711949,0.0003078643275526,0.000220985898493,0.0014268740424717
31,Invincible1,BR,Challenger,1022,377,55.3,5.6,5.4,5.7,0.0022957492886579,9.522013605589184e-05,0.0002462327879011,0.0003155435935734,0.000220356150199,0.0014183966209283
32,polo capalot,BR,Challenger,1133,211,53.3,6.1,5.8,5.8,0.0022918771038718,9.479651181298528e-05,0.0002354511189138,0.0003067102798953,0.0002106646307022,0.0014442545625474
33,C02Y,EUW,Challenger,905,745,60.1,5.9,5.4,5.6,0.0022595858996752,9.585071944280478e-05,0.0002820403739925,0.0003425087413015,0.0002508078026523,0.0012883782622859
34,324142,KR,Challenger,995,473,53.2,4.6,3.8,5.0,0.0022545885138864,9.568054496305014e-05,0.000250968326282,0.0003152547477802,0.0002235811644163,0.0013691037304448
35,invicta23,EUW,Challenger,926,642,52.9,4.4,5.0,6.1,0.0022473927048944,9.196229102911148e-05,0.0002382308705938,0.0012450100657899,0.0002763966626235,0.0003957928148579
