nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
undercover bob,7.9,4.9,6.9,AD Carry,188,59.6,Mid,16.0,62.5,Jungler,3.0,33.3
Riiquee,3.0,4.8,13.5,Support,148,57.4,Mid,15.0,73.3,AD Carry,6.0,16.7
Drututt,6.2,4.2,4.2,Top,248,54.4,Mid,11.0,27.3,Jungler,4.0,25.0
RIV Punga,6.5,4.5,7.2,Mid,318,58.8,Top,92.0,56.5,Support,45.0,42.2
Aithusa 23,7.0,6.3,6.4,Mid,265,55.8,Jungler,47.0,42.6,Top,33.0,60.6
Yozu,5.4,4.0,7.9,Mid,132,62.1,AD Carry,70.0,44.3,Support,32.0,53.1
J1MIZERA1337,7.1,5.5,7.9,Jungler,493,52.9,AD Carry,125.0,56.0,Mid,12.0,50.0
frosty,5.1,5.0,12.4,Support,249,57.4,AD Carry,78.0,60.3,Mid,6.0,66.7
El Brayayin,8.2,5.0,7.5,Mid,150,56.7,Jungler,58.0,50.0,AD Carry,33.0,51.5
34살원딜형,6.5,4.0,6.4,AD Carry,323,65.3,Support,14.0,57.1,Mid,2.0,50.0
Ninø Nakano,5.0,6.0,7.3,Top,281,52.7,Mid,77.0,48.1,AD Carry,44.0,50.0
Noah7,9.0,5.5,7.8,AD Carry,336,61.6,Jungler,70.0,52.9,Support,5.0,100.0
Mandioguila,5.6,5.8,8.8,Mid,109,56.0,AD Carry,55.0,60.0,Support,35.0,48.6
BOBOPIPLUP,5.6,4.0,5.9,Mid,223,56.1,Top,41.0,48.8,Support,5.0,40.0
Amiya zzang,5.2,4.2,5.3,Top,141,58.9,Mid,14.0,50.0,AD Carry,8.0,37.5
Agurin,6.4,4.6,8.5,Jungler,416,58.2,Top,13.0,46.2,Mid,7.0,57.1
Swedish Deft,6.4,3.8,8.2,AD Carry,263,54.8,Support,87.0,55.2,Jungler,14.0,35.7
GerbeRizz,6.6,5.4,9.2,AD Carry,158,60.8,Support,49.0,57.1,Top,9.0,33.3
Mixtsure,3.3,4.3,10.2,Support,119,62.2,Mid,31.0,51.6,AD Carry,12.0,16.7
TETIS XDDDDD,7.2,4.2,8.3,Jungler,314,56.7,Top,13.0,69.2,Mid,8.0,50.0
SatØrius,3.5,4.4,6.9,Top,236,53.8,Mid,35.0,57.1,Support,22.0,54.5
Tiago Rodrigues,2.7,5.1,13.4,Support,291,55.3,AD Carry,8.0,50.0,Top,2.0,50.0
6K OnFleek,6.3,4.7,7.3,Jungler,205,57.1,Top,56.0,58.9,Mid,7.0,28.6
Hxssx,6.3,5.2,8.8,AD Carry,187,54.5,Support,58.0,53.4,Mid,1.0,100.0
INTOXICATΕD,7.7,5.1,7.7,Jungler,144,62.5,Mid,44.0,52.3,Top,32.0,46.9
twtv rocks908,1.7,5.3,12.8,Support,348,53.7,AD Carry,28.0,50.0,Mid,4.0,75.0
Bleecky,2.3,5.4,13.9,Support,352,55.7,AD Carry,9.0,44.4,Mid,8.0,87.5
XΥΖ,5.2,4.3,5.3,Top,213,58.2,Mid,8.0,50.0,Jungler,6.0,33.3
5kid,7.5,4.5,7.2,AD Carry,237,60.8,Support,13.0,61.5,Mid,12.0,50.0
DK Pullbae,4.6,4.8,6.2,Mid,278,58.3,Top,37.0,29.7,Support,8.0,75.0
eBaz,7.0,4.9,6.1,Mid,141,56.0,Top,97.0,69.1,AD Carry,13.0,23.1
DDDRX,6.2,5.1,8.1,AD Carry,208,57.2,Support,45.0,55.6,Top,2.0,0.0
KDF 태윤,6.4,5.3,6.7,AD Carry,202,56.4,Jungler,8.0,37.5,Support,4.0,50.0
oerwoud,6.8,5.0,8.9,Jungler,252,53.2,Mid,20.0,55.0,Top,7.0,57.1
cRa 11,6.1,4.6,5.6,Top,224,53.6,Mid,11.0,54.5,AD Carry,10.0,50.0
zzzzzzzzzzzzzzzd,3.3,4.4,8.7,Top,90,61.1,Mid,11.0,81.8,Support,3.0,100.0
Billy Butcher XD,6.9,4.2,8.5,Jungler,171,62.6,Mid,10.0,70.0,Top,8.0,12.5
P42 Shadowsong,6.8,4.0,4.9,Top,133,63.9,AD Carry,11.0,72.7,Mid,8.0,75.0
Barkoon,6.9,4.3,8.6,Jungler,285,55.4,Top,22.0,40.9,Mid,16.0,56.3
Karina167,6.9,6.1,8.0,Jungler,173,60.7,Top,30.0,46.7,Mid,4.0,75.0
DlPLEX,5.3,4.8,5.6,Mid,345,55.4,Top,55.0,52.7,Support,21.0,52.4
raw outlaw,3.4,5.8,12.1,Support,500,57.2,Mid,63.0,38.1,Jungler,21.0,33.3
uZent,2.1,4.4,13.8,Support,193,59.1,AD Carry,10.0,30.0,Mid,4.0,25.0
Messages Sup Acc,2.6,6.6,13.9,Support,156,57.7,Mid,13.0,69.2,Top,4.0,75.0
Anechek dog,6.3,5.9,8.8,Jungler,345,52.5,Support,52.0,55.8,Top,11.0,72.7
Atlanta,7.3,4.9,7.9,Mid,94,58.5,AD Carry,41.0,65.9,Jungler,7.0,42.9
Tangerin,11.6,4.5,7.3,Mid,180,71.7,Jungler,39.0,59.0,Top,19.0,57.9
DouyinTonyTop,4.8,4.3,5.6,Top,321,57.9,Mid,18.0,72.2,AD Carry,13.0,53.8
Incandescence33,5.6,4.5,7.2,Mid,263,55.9,AD Carry,20.0,35.0,Top,1.0,100.0
WAP 5,7.0,4.7,8.2,Jungler,146,58.2,Support,48.0,47.9,Top,19.0,57.9
BioPanther,4.9,4.3,9.5,Support,90,51.1,Top,78.0,59.0,Jungler,77.0,58.4
Eri my beloved,7.2,4.4,8.1,Jungler,164,65.9,Support,35.0,54.3,AD Carry,14.0,50.0
boba dopa,3.0,4.8,13.3,Support,176,59.1,Jungler,25.0,52.0,Mid,3.0,0.0
Unseen Rengar,7.2,6.1,6.5,Jungler,176,56.3,Top,2.0,50.0,Mid,2.0,0.0
NattyNatt,7.4,5.3,4.8,Jungler,336,56.5,Top,134.0,47.0,Mid,37.0,37.8
Colchønsito,4.3,5.3,11.7,Support,144,56.9,Mid,18.0,61.1,AD Carry,5.0,60.0
LOS celo,7.1,6.6,7.3,AD Carry,265,55.8,Top,23.0,39.1,Support,22.0,40.9
blaberfish2,7.3,5.4,8.2,Jungler,142,66.2,Mid,32.0,46.9,AD Carry,7.0,71.4
DKB Sinnlos,2.7,5.1,12.4,Support,388,53.6,Mid,26.0,57.7,Top,10.0,20.0
Cl0x2227,2.4,4.6,13.2,Support,237,55.3,Mid,7.0,85.7,Top,3.0,100.0
ZEN sant,6.4,6.4,9.1,AD Carry,354,54.5,Support,56.0,57.1,Top,4.0,75.0
Wufo9,5.2,5.2,5.0,Top,421,53.0,Mid,8.0,62.5,Jungler,2.0,100.0
eightQAQ,7.2,5.0,8.2,Jungler,176,60.8,Top,22.0,40.9,Mid,1.0,100.0
STEPZ,9.7,6.4,7.0,Jungler,311,56.9,Top,92.0,56.5,Mid,58.0,53.4
Yupps,6.8,5.4,6.4,Top,114,56.1,Jungler,6.0,66.7,Mid,5.0,80.0
TPAA IhY0,6.1,4.9,4.9,Top,329,52.3,Mid,4.0,50.0,Jungler,1.0,0.0
Alisa Pauder,7.0,4.1,6.7,AD Carry,204,54.4,Top,22.0,63.6,Mid,11.0,54.5
Porttinari,7.0,3.5,5.4,Mid,244,56.6,AD Carry,87.0,58.6,Top,45.0,55.6
Scorth,7.4,5.6,7.2,AD Carry,360,54.7,Support,53.0,49.1,Mid,12.0,25.0
wegshsdfah,8.5,5.9,5.9,Mid,252,56.3,Top,25.0,60.0,Jungler,17.0,41.2
l º w º I,5.5,5.4,7.4,Mid,215,58.6,Support,36.0,50.0,Jungler,35.0,40.0
QUINDINHO,8.8,6.1,4.8,Mid,126,51.6,Top,70.0,55.7,Jungler,8.0,62.5
Valsurita,7.3,5.4,8.5,Mid,187,61.5,Jungler,79.0,54.4,Support,73.0,65.8
milan,7.9,4.6,6.8,AD Carry,165,59.4,Jungler,16.0,43.8,Mid,11.0,54.5
Neuf,5.1,5.8,12.5,Mid,103,60.2,Jungler,30.0,53.3,Top,12.0,50.0
