nombre_invocador,Jinno Kingdom,Satoru Gojo03,T1 Gumayusi,HAHAHAHHAHA,Kobbe,Beanovich,Total
T1 Gumayusi,0.0008890263734219218,0.00046375778324949133,1.0,0.0015772617954755944,0.0007028250637710234,0.002481968060767947,1.006114839076686
Beanovich,0.0009526438662998002,0.0004273454818686322,0.002481968060767947,0.0012010713886921093,0.0006157673396482556,1.0,1.0056787961372768
HAHAHAHHAHA,0.0006243272647083308,0.0005418242378986305,0.0015772617954755944,1.0,0.0009337451698403283,0.0012010713886921093,1.004878229856615
Kobbe,0.0004930822898176957,0.0011688919136816072,0.0007028250637710234,0.0009337451698403283,1.0,0.0006157673396482556,1.003914311776759
Jinno Kingdom,1.0,0.00037205601798694803,0.0008890263734219218,0.0006243272647083308,0.0004930822898176957,0.0009526438662998002,1.003331135812235
Satoru Gojo03,0.00037205601798694803,1.0,0.00046375778324949133,0.0005418242378986305,0.0011688919136816072,0.0004273454818686322,1.0029738754346855
땅우양,0.0009547096653355964,0.00045831115887955815,0.0036250933956179015,0.0012412061701801609,0.0006671429085779979,0.003267809296935106,0.01021427259552632
Sophist Sage,0.000982499745110048,0.00043764444704578516,0.0037096586136373608,0.0012041852898789995,0.0006342500528410602,0.0027912064064020974,0.00975944455491535
qiqi77,0.000622136786139075,0.0005738394816486598,0.0016133147833629776,0.0039509787136390835,0.0010020859301330327,0.0011844933623357274,0.008946849057258555
FA IsDEAD,0.0009468380889096152,0.00045410738866545245,0.0037297163583484582,0.0012596580046924414,0.000674345046078103,0.0017919165788129426,0.008856581465507012
100 Unforgiven,0.0008212896614882331,0.00041507924645982396,0.0030384433500053295,0.0013420684359290143,0.0006016520766314749,0.002568473000795093,0.008787005771308969
Scorth,0.0011710290722675674,0.00041515281577837596,0.002513688695245507,0.0011026552703230629,0.0005992398833983969,0.002757137466474728,0.008558903203487638
Notiko,0.0009263899646022331,0.00044009104616353327,0.003018841191302855,0.0014070060925344898,0.0006639380367848871,0.00197793187174433,0.008434198203132327
como a isa,0.0006689298967238587,0.00048706604438683495,0.002127072088633562,0.0028202611576178694,0.0007752242054774867,0.0013800882015764964,0.008258641594416109
Maykel,0.0009665196967153629,0.00046960810281332154,0.002706946484898988,0.0011449495725003428,0.0006788852968167664,0.002142420564341097,0.00810932971808588
remove ff ggwp,0.0008928455520390162,0.0004520751688882311,0.0021316866876674376,0.0011406635944550601,0.0006422596987869117,0.002824727426867542,0.0080842581287042
kksh3,0.000892668953474361,0.0004903003990126913,0.002639167182976398,0.0015343990847481409,0.0007715448768592783,0.0016833127382732509,0.008011393235344121
viper3,0.0006526050918100183,0.0005144008217712516,0.0016735910040321553,0.0030472442702700222,0.0008537425812347671,0.001169853267731584,0.0079114370368498
niinim,0.0009663308350647911,0.00038490585256203237,0.0017950303548023706,0.0009891154019821228,0.0005374613043609697,0.003214577455364558,0.007887421204136845
Kral Luger,0.000725300760602559,0.000479446366963011,0.0025984286208577652,0.001649342485119363,0.0007218106901691759,0.0017098883592203123,0.007884217282932187
Palavra,0.0007770828991938655,0.0005765266520721364,0.0021304119099759735,0.0019651239469929633,0.0010103173190516403,0.001357093655051182,0.007816556382337761
zi du,0.0007892255806817229,0.000536587677835167,0.002507582316920386,0.0016578438741950354,0.000854477339048268,0.0014401103955622588,0.0077858271842428375
udo1zO5x3,0.0009348875379427635,0.0004044076021752004,0.00263289316341074,0.0011017576095201215,0.0005763810686685258,0.0021019748819994227,0.007752301863716774
zenbukorosu,0.0008572471044772442,0.000393894810561926,0.0016811300840923775,0.0010314558242336624,0.0005467825737540759,0.0032135756753042285,0.007724086072423515
no brain adc,0.0006741673051392418,0.00047023465566466464,0.0021042263942258888,0.0023332001947957517,0.0007308457082823366,0.001392946007949291,0.007705620266057174
RIV ixdmmpxr,0.0010303788143966423,0.00040155783048040605,0.002269861265271189,0.0010169373972309219,0.000566648219666114,0.002332775087886289,0.007618158614931562
LLL Beenie,0.000767316564410475,0.0004313928897550218,0.002379660267913693,0.0012951671595808243,0.0006159535394792564,0.0020904752411641924,0.007579965662303463
viper3,0.0006456474159245603,0.0005146302762748802,0.0016267524311320278,0.0027835205836045313,0.0008511468198005343,0.0011290804186359234,0.007550777945372457
SaicoWhenISlide,0.0012480581383927465,0.0004083937973496937,0.002042606065483246,0.0009719461218215473,0.0005791058440337593,0.0022732850705174043,0.007523395037598398
Pongji,0.0008754124211258263,0.00041218538708884294,0.002766164810542463,0.0011560998541886212,0.000593417890174414,0.0017047865951341345,0.007508066958254301
viper3,0.0008031926756156161,0.0004383684747125277,0.0025694074254965673,0.0012185877093252304,0.0006269455791439559,0.0018254183947926128,0.0074819202590865105
SNIPP FON FON,0.001197063622276069,0.0004318342129750353,0.00219319810795257,0.0009622743055675356,0.0006067202548417707,0.002041447278349594,0.007432537781962574
NS Jiwoo,0.0012457576437381172,0.0004018007242616103,0.0020752555275722214,0.0010014683891545867,0.0005762178175330616,0.002110290365481971,0.007410790467741568
warcyclone,0.0009520424884223397,0.0005118242421145691,0.002237197905413013,0.0013318162362335277,0.0007956943422461712,0.0015588393400661918,0.007387414554495812
avarice61,0.0009158460282083479,0.00039016621835016586,0.0018711592522130862,0.0011221455511163038,0.0005588956542265393,0.0025002439267015073,0.00735845663081595
DUDAO MALTRATA,0.0007965445006518844,0.0004386226373981622,0.002441413179091651,0.0012275816133868985,0.000630292903049525,0.0017938913100859243,0.007328346143664046
HealthandAhn,0.001150975741982614,0.00045030959865330366,0.002005126187340585,0.0009809351918631897,0.0006383245458244347,0.0020064436531416372,0.0072321149188057645
BDS xMatty,0.0007757688110267991,0.0004041649122759495,0.00199489115820996,0.001127591053468484,0.0005627219614220246,0.002361878938863479,0.007227016835266697
Upset03,0.001065345961159136,0.0003899139214017067,0.00203067141267714,0.0010008002090430054,0.0005537041522748614,0.002170471385768613,0.007210907042324462
We lost on Sep14,0.003768506297698911,0.0003664759884463719,0.0009169229825003293,0.0006417092826202637,0.0004898486408823715,0.0010060295158108611,0.007189492707959109
viper3,0.000790325298130342,0.0004385104448299121,0.002408795252305415,0.0011997295921447166,0.0006259156951759436,0.0016810527998906432,0.007144329082476972
Hxssx,0.0010093434031686476,0.0004941116320820787,0.002215405871693695,0.001107854645968801,0.0007279210441201798,0.001560169120115375,0.007114805717148777
I am Súnlight,0.000870779630632648,0.00041144079350732225,0.0023394165504030144,0.001042871813611722,0.0005738738206274253,0.0018145293699130087,0.007052911978695141
ANDARlEL,0.0007060349597759516,0.0004426714613827684,0.0018294257033365862,0.0019579567916311286,0.0006900879939522502,0.001374477557411083,0.0070006544674897685
school phobiia,0.0008466011570839501,0.0003849345288781327,0.0018176532136274567,0.001082066677000837,0.0005407014534690314,0.0022880404884697268,0.006959997518529135
sanghyxxn,0.0008031011583022102,0.0003948265437811886,0.001958293055278481,0.0011005774516305044,0.0005493291425779184,0.002147732913523137,0.0069538602650934395
ninjakiwi123,0.0007692113444366546,0.0004084851358676957,0.00213132232188765,0.001124354820108241,0.0005681633760742107,0.001949422947939185,0.006950959946313637
micaO 2023,0.0007447576447707344,0.000449839297098431,0.002039933576829413,0.00114692194575951,0.000625100680498092,0.0019306931666033351,0.006937246311559515
Neøø,0.001295108612475457,0.0004607429618334846,0.0018633953205003744,0.0009581134038007093,0.0006600589620487454,0.0016539928369168524,0.006891412097575623
Piękny Świat,0.0013018366279647022,0.0003919004615043766,0.001747696324006261,0.0009074760392506803,0.0005483572897657357,0.001975066669772191,0.0068723334122639465
