nombre_invocador,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor,total
elyoyaaaaaaaaaaa,1.0,0.0004034061712796759,0.0001693868502653842,0.00033420955191573336,0.0003391715356221938,0.00041187035835817825,0.00031745376752546493,0.003645148012367718,1.0056206462473343
bluerzor,0.003645148012367718,0.0003931068151287947,0.00016408952300847745,0.0003236009422845343,0.00032898739373133094,0.00039597607709815266,0.00031788085051150924,1.0,1.0055687896141305
I Love Uber Eats,0.0003391715356221938,0.0010959640119004087,0.0001401381739024038,0.00171430143731382,1.0,0.0012091207776120667,0.0003239119715252358,0.00032898739373133094,1.0051515953016075
blaberfish2,0.00033420955191573336,0.0011624313741839891,0.00014457976269363827,1.0,0.00171430143731382,0.0008179121585879034,0.0003433021422561624,0.0003236009422845343,1.0048403373692356
Razørk Activoo,0.0004034061712796759,1.0,0.000144343009649843,0.0011624313741839891,0.0010959640119004087,0.0008665063553759848,0.00043702741568932936,0.0003931068151287947,1.004502785153208
Maxlore,0.00041187035835817825,0.0008665063553759848,0.00014699821102811977,0.0008179121585879034,0.0012091207776120667,1.0,0.0003034291359674988,0.00039597607709815266,1.004151813074028
Boukada,0.00031745376752546493,0.00043702741568932936,0.00013409421223204392,0.0003433021422561624,0.0003239119715252358,0.0003034291359674988,1.0,0.00031788085051150924,1.002177099495707
잘가요 굿바이,0.0001693868502653842,0.000144343009649843,1.0,0.00014457976269363827,0.0001401381739024038,0.00014699821102811977,0.00013409421223204392,0.00016408952300847745,1.0010436297427798
Draven696969,0.00033889923169828624,0.0011248588154866219,0.0001392756417764497,0.0015984949888326382,0.006176436495513267,0.0012033810280498909,0.0003270963071416081,0.00032921481266077606,0.01123765732115954
nemesis fan 48,0.0003347384952213991,0.0009747252065380597,0.00013977597069967862,0.001537565758160467,0.004013773723895176,0.0012193880256668004,0.0003091627404465745,0.00032524671319382784,0.008854376633821982
paiN caca1,0.00035268899187236065,0.0012422347100938403,0.0001423152726086921,0.0019666816645033313,0.0031918957946466034,0.0011464286187578083,0.0003344288346602312,0.00034186957714162894,0.008718543464284495
JUGKlNG,0.00033953405957218785,0.001405762782945729,0.00014166344361500233,0.003510535449033187,0.0016302261175105393,0.0008006265519710462,0.0003617313348441759,0.00033056700312119187,0.008520646742613058
Yagiao,0.0003398205525823929,0.0011188956907132637,0.00014118583274566206,0.0019923308610636076,0.003036145495546453,0.001108107859275787,0.0003205287607531582,0.00033047600236546455,0.008387491055045788
im a jungler,0.0003241912681705293,0.0009476220072316975,0.00013854106749448965,0.0017144814306781437,0.0035716612947956448,0.0010414703800207625,0.00031108811790845644,0.0003153971191080393,0.008364452685407763
Yøø Høbin,0.00035323373607782505,0.0012653909719151013,0.00014343522625657925,0.0022188298633200225,0.002528801357632183,0.0011036439253811776,0.0003332959884565928,0.00034233845888882177,0.008288969527928304
KJ Allen,0.00034224246210291375,0.0011429026356904346,0.00014459169740277866,0.0028253521437044266,0.002203831660236574,0.0009557339955969242,0.0003369904252832948,0.0003304738209428161,0.008282118840960164
Śheiden,0.00034355784053268347,0.0013487443108791562,0.00014021663014405225,0.002443594402526096,0.0023655666680041836,0.0009272343767882051,0.0003498785183613832,0.00033454925301265885,0.00825334200024842
dw99q0znyh9c7wh,0.0003497105390603568,0.0014054357554449575,0.00013950951601289662,0.0019112610156036952,0.002708611948342729,0.0010245458012647281,0.00034984938265695355,0.0003407007283167958,0.008229624686703112
AHaHaCiK,0.00034309246608795006,0.0011331705722842352,0.00014454001195335025,0.002164287760437997,0.0026252335419483016,0.0011344281292427483,0.000321521699788387,0.0003320601353796785,0.008198334317122647
Boogeyman,0.0003303682573852635,0.0009826042610116563,0.0001388147063631145,0.0017561143693726133,0.0032770301081622927,0.00104552768180454,0.00031263106298192746,0.00032155677042051874,0.008164647217501927
