nombre_invocador,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana,Total
boiat nastana,0.00020392780665097072,0.00023819853117436243,0.0018137737284913634,0.00041359024916122293,0.00039102557872917074,0.0002951705173246096,0.0020540710806617535,0.0013661745891609687,9.617175254666329e-05,1.0,1.006872103833901
Wesley Warren Jr,0.0002109814116451917,0.0002505360503208497,1.0,0.0003597943632269086,0.00043174878533631955,0.00030102141569566317,0.0014227043406596323,0.001473945664673737,9.887539560539538e-05,0.0018137737284913634,1.0063633811556552
Percy Magic,0.00020105264063107104,0.00023528704365927957,0.0014227043406596323,0.0004138219519770552,0.0003709548796898264,0.00030103379972551273,1.0,0.0011812024811825544,9.561102170662202e-05,0.0020540710806617535,1.0062757392398933
M1dLaoBan,0.00021227677439208408,0.000260497135613198,0.001473945664673737,0.0003847852867875259,0.0004138396238610095,0.00030482019717173047,0.0011812024811825544,1.0,9.857975301640417e-05,0.0013661745891609687,1.005696121505859
Jænsen,0.00037419352672679064,0.0004690464814405001,0.00043174878533631955,0.0002849220188919756,1.0,0.00047836652373498044,0.0003709548796898264,0.0004138396238610095,0.00012648483348343917,0.00039102557872917074,1.003340582251894
dajor25,0.0004529738164017151,0.0004976519120166565,0.00030102141569566317,0.0003316964978295681,0.00047836652373498044,1.0,0.00030103379972551273,0.00030482019717173047,0.00012796752073880574,0.0002951705173246096,1.0030907022006392
pleroma chronou,0.0006466872639594157,1.0,0.0002505360503208497,0.00022911899089510436,0.0004690464814405001,0.0004976519120166565,0.00023528704365927957,0.000260497135613198,0.00015274555309136332,0.00023819853117436243,1.002979768962171
GOOD GAME GG EZ,0.0002135138816949969,0.00022911899089510436,0.0003597943632269086,1.0,0.0002849220188919756,0.0003316964978295681,0.0004138219519770552,0.0003847852867875259,9.478751090124392e-05,0.00041359024916122293,1.0027260307513657
Hide on bush,1.0,0.0006466872639594157,0.0002109814116451917,0.0002135138816949969,0.00037419352672679064,0.0004529738164017151,0.00020105264063107104,0.00021227677439208408,0.00016930929435020033,0.00020392780665097072,1.0026849164164524
Disabled Chattt,0.00016930929435020033,0.00015274555309136332,9.887539560539538e-05,9.478751090124392e-05,0.00012648483348343917,0.00012796752073880574,9.561102170662202e-05,9.857975301640417e-05,1.0,9.617175254666329e-05,1.0010605326354403
nalamango,0.0002013216701906993,0.00023621166343896214,0.0017812841769605514,0.0004049929706705995,0.0003817389250338055,0.00029280090646990913,0.0027552648560130347,0.0014149290770706009,9.575423221839571e-05,0.005218717256340995,0.012783015734407554
앗싸 지렸다리,0.00021110364888178606,0.0002481720758233565,0.0023156252740825084,0.0004131252049681723,0.00041702544728517674,0.000311164337899406,0.001952343754950087,0.0014616475799779317,9.773271430798222e-05,0.0034937562102603805,0.010921696248436787
the pob,0.00020849571094725577,0.00024649125151901286,0.004241338698092505,0.00035944828507722745,0.00042126396136248426,0.0002918863805810872,0.0013055338483641335,0.001522511969387844,9.827543918508902e-05,0.0018435781191860651,0.010538823663702705
Tkk,0.00021215802898526313,0.00025319796645778694,0.00379565719261572,0.0003599634019041284,0.00043812135400237676,0.0003004857114760179,0.0012740247173295882,0.0016212929314988803,9.911070176396677e-05,0.001751514899105662,0.01010552690513939
Jαvier,0.00019934469150570077,0.00023522472959294473,0.0020749211891813576,0.0003694038148928581,0.0003870834491921963,0.0002821356076935728,0.001655708082263653,0.0014337030002540213,9.593096496381176e-05,0.0031823605539771306,0.009915816083517248
DK Saint,0.00020493990429678127,0.00024183220953722778,0.00299919931793798,0.0003656664444568151,0.00040509752333787346,0.0002865045246120847,0.0014060661399691373,0.0016222375951119694,9.728033408121913e-05,0.002176725256143692,0.00980554924948478
Titeito,0.0002120314347808675,0.00025201799478127265,0.003908426946247853,0.0003492226652998371,0.00043993667838446463,0.0002975983653401477,0.0011931286715355293,0.0013925199972854448,9.93967170081025e-05,0.0015291798777164766,0.009673459348379994
pizzaman007,0.00020330334659094605,0.00023993753968322993,0.003102136817981508,0.0003526965666875061,0.0004081531113275254,0.00028407941243841525,0.001320034116872652,0.0013548560176174396,9.722522430253806e-05,0.0021462391247386876,0.009508661278240448
Envy Carry,0.00020577847693924482,0.00024349756853577943,0.0033956959369336203,0.00034972409330445893,0.00041342632264046854,0.00028766494222322086,0.0013108420108213696,0.0014275938051404704,9.791059597400181e-05,0.0017573316013150479,0.009489465353827681
HVAC TECHNlCIAN,0.0002004476398675127,0.00023560547490274103,0.0026371566375859366,0.0003583925433771853,0.0003923411490331329,0.0002792471938498678,0.001453689082629561,0.0014084051700943639,9.641684159960548e-05,0.002344181729197265,0.00940588346213717
the inescapable,0.00019936554852165847,0.0002321550191423,0.0015328094281333016,0.0003948576073474153,0.0003799088247102835,0.00028093666047417684,0.0014986768525568908,0.0012200041254924058,9.542145097418742e-05,0.003529479295835742,0.009363614813188361
azek,0.00020902898821594784,0.0002452685676361251,0.001413328008667516,0.0004477056849370269,0.00040080628855042045,0.0003065483136939261,0.0015610157454672771,0.0013792975872337421,9.681735566395348e-05,0.003210964966682971,0.009270781506748905
jayce otpe,0.00020492186035060123,0.00024380168693033605,0.0024344653355008366,0.00036266041690127094,0.00041114228715861343,0.0002927198217354844,0.0014488674962997627,0.00141637837770581,9.74488531776395e-05,0.0021531506770275156,0.00906555681278787
wx NAtongtiandai,0.0002054195434016782,0.00024148680773743473,0.002165411498841226,0.0003738258746090286,0.00041112191023740354,0.0002888486383571358,0.0013099339902603315,0.0013511078151802922,9.720388049497616e-05,0.002507571963237343,0.00895193192235685
sibal mute all,0.0001976883949802563,0.00023326911601018643,0.0014549326609788985,0.0003873825533302227,0.0003718310119550572,0.00028766273742590896,0.002340173893132729,0.0012648727372324797,9.524831997240562e-05,0.0023175261096938763,0.00895058753471202
wo hao cai,0.0002130550366235036,0.00025279883893704607,0.0029659705838326737,0.00036318553753819963,0.0004408951484856275,0.000299690248411219,0.001158326891183882,0.0014305207870771942,9.916939340407284e-05,0.0016716681183727316,0.00889528058386615
CHF ABG,0.0002016897549354154,0.00023743957691534372,0.0022051805248338185,0.00036392581660124997,0.00039954124349072346,0.00028438101271323953,0.001415360756398988,0.0013031685095516497,9.655380445360874e-05,0.0023780997815904467,0.008885340781484483
Mid Witch,0.00021076314275750988,0.00024770725469378045,0.0017927195403199885,0.00040848319900980545,0.0004210463512869737,0.00030503862906112203,0.0013840057336859941,0.0013226247968243987,9.774563176565413e-05,0.0026864141446720133,0.00887654842407724
KBM Dioge7,0.00021853667619965201,0.0002628698685262941,0.002558112842431784,0.00037469157995136457,0.00046145652385936513,0.00031283021895325895,0.0011691725720102538,0.001690553501719775,0.0001002066925427407,0.0017170142811497964,0.008865444757344285
Aithusa 23,0.00021692855019608609,0.0002619488951144755,0.0029305268888341197,0.0003542949623743945,0.0004620362460709737,0.00030740692127060644,0.0011110066064217862,0.0016264423844467484,0.00010033883624219376,0.001488057204833317,0.008858987495804702
