nombre_invocador,FNC Hylissang,TL Honda CoreJJ,Vulcan 01,역천괴,school phobia,mersa777,Targamas,KC Leona,Zaunite Mylo,Total
FNC Hylissang,1.0,0.0007950422662326131,0.0003653056282442329,0.00013988981835233428,0.0005701749256844024,0.0002242128669340005,0.004669072408822038,0.00027098315561604905,4.9476616108896165e-05,1.0070841576859948
Targamas,0.004669072408822038,0.0007807847188048487,0.0003585577133299241,0.0001371181982161694,0.0005798731051811433,0.0002214202597236359,1.0,0.0002627489465682114,4.9261397681035856e-05,1.007058836748327
TL Honda CoreJJ,0.0007950422662326131,1.0,0.0005215519059261519,0.00014662102417205503,0.0012578903811132235,0.00026018000834056635,0.0007807847188048487,0.00033739116073385324,4.9872663702360716e-05,1.0041493341290255
school phobia,0.0005701749256844024,0.0012578903811132235,0.00046939631683256855,0.00013755845267799974,1.0,0.00023418577996849906,0.0005798731051811433,0.0003135089677942373,4.922531789666035e-05,1.0036118132471488
Vulcan 01,0.0003653056282442329,0.0005215519059261519,1.0,0.00015649190631837138,0.00046939631683256855,0.00026392700408328754,0.0003585577133299241,0.000350205263112367,5.437957782239291e-05,1.002539815315669
KC Leona,0.00027098315561604905,0.00033739116073385324,0.000350205263112367,0.00023069566328642773,0.0003135089677942373,0.00024222810355872858,0.0002627489465682114,1.0,5.317586893941682e-05,1.0020609371296094
mersa777,0.0002242128669340005,0.00026018000834056635,0.00026392700408328754,0.00016650123331442512,0.00023418577996849906,1.0,0.0002214202597236359,0.00024222810355872858,5.020212000458666e-05,1.0016628573759279
역천괴,0.00013988981835233428,0.00014662102417205503,0.00015649190631837138,1.0,0.00013755845267799974,0.00016650123331442512,0.0001371181982161694,0.00023069566328642773,5.813661321496986e-05,1.0011730129095529
Zaunite Mylo,4.9476616108896165e-05,4.9872663702360716e-05,5.437957782239291e-05,5.813661321496986e-05,4.922531789666035e-05,5.020212000458666e-05,4.9261397681035856e-05,5.317586893941682e-05,1.0,1.0004137301753704
twtv rocks908,0.0040283146136408515,0.0007754121702284887,0.0003564181600511226,0.00013645279759167447,0.0005803490583735603,0.00022125736191294486,0.009970174819756613,0.00026056411058928336,4.919094914487331e-05,0.016378134041289415
thominhas,0.0033418068559379665,0.0007918852733532628,0.0003580558519194968,0.00013554046211918747,0.0006012854735311844,0.00022062948507609495,0.006751808621296657,0.0002593180705190384,4.912952260777824e-05,0.012509459616360668
zenbokorosn,0.005539484064682758,0.0008048067326637425,0.0003715661122942412,0.0001417009367993931,0.0005624913590723348,0.0002281210425596766,0.003532792099957152,0.0002758673420295475,4.963227163572939e-05,0.011506461961694574
SharkNad0,0.004348961573226232,0.0008608944675200095,0.00037257389676086285,0.00013886744858537144,0.0006052740587120676,0.00022532054352343336,0.004411156532318326,0.00027033367376442884,4.9389654134547125e-05,0.011282771848545278
小西寶寶A,0.003450033642669178,0.0007740970574595036,0.00035664949547671544,0.0001368821112191347,0.0005722349062432068,0.00022125352715179726,0.004384031931053367,0.00026118213034705004,4.920680045713806e-05,0.010205571602077091
et pas une autre,0.004553498351979866,0.0007476702979819527,0.00035777626413274104,0.00014076558684511788,0.0005449383147159791,0.00022130267955223937,0.0031854248784098835,0.0002725099243026423,4.951712395927236e-05,0.010073403421879696
C9 Zven,0.0036497618986789954,0.0009044603902615207,0.0003831670736216465,0.00013968624871030585,0.0006146741923943515,0.00023119758666818115,0.0036760838598084585,0.00027297020254024644,4.948326218382808e-05,0.009921484714867533
dtro1,0.004138376638552102,0.0008195982417888114,0.0003730417992620491,0.00014337805001890782,0.0005616235962020836,0.00022735866251713375,0.0026311159577414515,0.00028209357247182626,4.9691664836463533e-05,0.00922627818339083
Gmandlife,0.003964281156404776,0.0007741419513075528,0.0003618194210088478,0.00013968131962080596,0.0005733826394711182,0.0002204907305730702,0.0027633184473063975,0.0002728162808048945,4.945498256357806e-05,0.009119386929061042
You,0.003091977363906741,0.0007236404418514263,0.00034908520381027645,0.0001366438843317838,0.000554796065737426,0.00021923044485548223,0.003458381509698847,0.0002599241688943461,4.9201377084870414e-05,0.008842880460171199
RIV kshhh,0.0035429780638580547,0.0008044007029520823,0.00036875090142457506,0.00014328646887279282,0.0005596038765700338,0.0002243271452387096,0.0025260230299199537,0.0002824986769880243,4.966079896946721e-05,0.008501529664793693
aRwinGü,0.0023843430495178453,0.000753719724275369,0.00035103845312243017,0.00013424784009064445,0.0005894715077300865,0.00021925068436103696,0.0033404946092990234,0.0002539493514563308,4.901052748609029e-05,0.008075525747338856
Pockus,0.0031089727301394066,0.0008076938971228361,0.0003720132969503546,0.00014228019907107717,0.0005814741271745768,0.00022231090815284514,0.0023382514484521686,0.0002834853640499967,4.967698355498084e-05,0.007906158954668242
Feliaaa,0.002232864995805886,0.0007385605144308882,0.0003494867125454109,0.00013393376217205196,0.0005788029517287688,0.00021888256670612479,0.003244621316730723,0.0002517771499581674,4.902044400386496e-05,0.007797950414081886
Kick a boo,0.0007244077311127841,0.0033523616221521643,0.000490911562122427,0.0001427252582638064,0.0016053886331901,0.0002549224966766881,0.0007271361997588009,0.0003235082848457118,4.941980253545519e-05,0.007670781590657938
bountyyspider,0.0022396624871854746,0.0008207808364658217,0.0003629741130956617,0.00013580091606496048,0.0006142554494549615,0.00022948612658914964,0.0029318003856123264,0.00025931637441788834,4.906109321017453e-05,0.007643137782096419
Isles1,0.0021498928431213796,0.0008167873060642072,0.0003603951318560998,0.00013466817926086172,0.0006291111809172718,0.00022394208878922118,0.0029461267658054697,0.0002572779826799496,4.9007609676221306e-05,0.007567209088170682
Procurando Nami,0.002173184242403898,0.000717227480878031,0.0003451595942412477,0.00013383088549060766,0.0005752014693649232,0.0002180545815457352,0.002975567855806373,0.00025197260719711756,4.8988237759765685e-05,0.007439186954687699
FUR Manel,0.002270477600790882,0.0010489767267304446,0.00039201195617424845,0.0001397932660320286,0.0006983549229357133,0.00022792235411367656,0.0022600051778146404,0.00028180017118172425,4.93814278343866e-05,0.007368723603607743
Thumbs Down,0.0019848846770241894,0.0007721981847378037,0.00035429069310127196,0.0001336592460284906,0.0006180543798399675,0.00021871842738249966,0.002941515404970899,0.00025418758174095045,4.900524715134753e-05,0.00732651384197742
Vitu 9,0.0025416908016161754,0.0009482804134327064,0.0003884939234338207,0.0001432673278911834,0.0006398376828583416,0.00022414602090605016,0.002074833825834435,0.00029258341887896115,4.969055601827063e-05,0.007302823970869944
Twitchtv Crecre,0.0028574396110887354,0.0007585985500833158,0.0003633685403500285,0.0001443983483779731,0.0005388449122893813,0.00022231730306793238,0.0020730276757577816,0.0002848712317580999,4.9739328442734516e-05,0.0072926055012159825
Breezyyy,0.0028076662207635206,0.0007705100405196682,0.0003713075591060694,0.00014419721865002353,0.000538415000241586,0.00022301484828950613,0.0020289252006489133,0.00028317368477108614,4.988118526849486e-05,0.007217090958258869
bddst shp,0.0025413873031833656,0.000777670336274719,0.0003652964725480399,0.00014197880668250925,0.0005465796282815856,0.00022296522743339375,0.002170652784181192,0.00027578882009270334,4.961034558319495e-05,0.007091929724260703
shibidi bob yes,0.0022268294437307323,0.0009699343973121885,0.0003930539597699629,0.00014178465251064762,0.0006486154114005417,0.00022490333189464936,0.0020891825173852737,0.00028671600572264177,4.966369284103018e-05,0.007030683412567668
INTZ Nia,0.0019617008425405636,0.0009003176231332985,0.0003757440180723925,0.00013597561148086557,0.0006685013673472321,0.00023150974630875817,0.0023387879701229283,0.00026327904798944683,4.911826120575258e-05,0.006924934488201239
