,Champion,Participaciones
0,Varus,133
1,Caitlyn,127
2,Zeri,118
3,Ezreal,78
4,Kai'Sa,78
5,Xayah,66
6,Draven,56
7,Twitch,34
8,Samira,26
9,Lucian,24
10,Jhin,19
11,Tristana,18
12,Aphelios,15
13,Jinx,10
14,Karthus,6
15,Syndra,4
16,Yone,4
17,Diana,4
18,Seraphine,4
19,Sion,4
20,Karma,4
21,Cassiopeia,3
22,Miss Fortune,3
23,Sivir,3
24,Kalista,3
25,Ashe,3
26,Ziggs,3
27,Sylas,3
28,Nilah,3
29,Yasuo,3
30,Kog'Maw,2
31,Vayne,2
32,Senna,2
33,Swain,2
34,Viego,2
35,Rengar,2
36,Kassadin,1
37,Renata Glasc,1
38,Janna,1
39,Jarvan IV,1
40,Twisted Fate,1
41,Aurelion Sol,1
42,Jayce,1
43,Wukong,1
44,Zilean,1
45,Maestro Yi,1
46,Vladimir,1
47,Lux,1
48,Fiddlesticks,1
49,Irelia,1
50,Thresh,1
51,Gragas,1
52,Darius,1
53,Rakan,1
