,Champion,Participaciones
0,Lee Sin,113
1,Graves,47
2,Elise,46
3,Viego,43
4,Sylas,38
5,Kindred,37
6,Nidalee,35
7,Wukong,35
8,Maokai,33
9,Ekko,27
10,Gragas,26
11,Rengar,26
12,Bel'Veth,25
13,Nunu y Willump,23
14,Kayn,19
15,Hecarim,19
16,Udyr,19
17,Evelynn,16
18,Vi,16
19,Zac,15
20,Fiddlesticks,14
21,Jarvan IV,12
22,Rek'Sai,10
23,Sejuani,10
24,Diana,9
25,Taliyah,7
26,Olaf,7
27,Maestro Yi,6
28,Rammus,6
29,Xin Zhao,6
30,Talon,5
31,Zed,5
32,Ivern,5
33,Irelia,5
34,Lillia,4
35,Rumble,4
36,Shen,4
37,Karma,4
38,Cho'Gath,4
39,Vladimir,4
40,Kha'Zix,4
41,Jayce,3
42,Pantheon,2
43,Xayah,2
44,Nami,1
45,Aurelion Sol,1
46,Samira,1
47,Tristana,1
48,Skarner,1
49,Morgana,1
50,Thresh,1
51,Yone,1
52,Varus,1
53,Lulu,1
54,Ashe,1
55,Karthus,1
56,Ezreal,1
57,Shaco,1
58,Poppy,1
59,Volibear,1
60,Ahri,1
61,Amumu,1
62,Gwen,1
