,Champion,Participaciones
0,Yone,55
1,Yasuo,51
2,Jayce,50
3,Syndra,43
4,Sylas,43
5,Aurelion Sol,43
6,Lux,42
7,Irelia,41
8,Ryze,39
9,Zed,36
10,Zoe,30
11,Akali,29
12,Katarina,27
13,Akshan,26
14,Qiyana,16
15,Ekko,16
16,Vladimir,15
17,Viktor,14
18,Talon,14
19,Orianna,14
20,Taliyah,13
21,Tristana,12
22,Pyke,12
23,Seraphine,12
24,Azir,11
25,Gragas,11
26,Kog'Maw,10
27,Cassiopeia,9
28,Anivia,9
29,LeBlanc,8
30,K'Sante,7
31,Sett,7
32,Pantheon,7
33,Kassadin,7
34,Lee Sin,6
35,Karma,6
36,Jax,5
37,Lissandra,5
38,Jhin,4
39,Corki,4
40,Twisted Fate,4
41,Ahri,4
42,Galio,4
43,Malzahar,4
44,Vex,4
45,Karthus,4
46,Kled,3
47,Swain,3
48,Neeko,3
49,Ziggs,3
50,Gangplank,3
51,Annie,3
52,Xerath,2
53,Zac,2
54,Rumble,2
55,Singed,2
56,Riven,2
57,Zeri,2
58,Viego,2
59,Udyr,2
60,Varus,2
61,Shen,2
62,Twitch,2
63,Diana,2
64,Tryndamere,2
65,Ashe,2
66,Vi,1
67,Maokai,1
68,Renekton,1
69,Veigar,1
70,Fiddlesticks,1
71,Jarvan IV,1
72,Samira,1
73,Rengar,1
74,Sion,1
75,Vel'Koz,1
76,Kai'Sa,1
77,Fizz,1
78,Ezreal,1
79,Graves,1
80,Zilean,1
81,Fiora,1
82,Nidalee,1
83,Nasus,1
84,Alistar,1
