,Champion,Participaciones
0,Ashe,108
1,Karma,83
2,Nautilus,66
3,Rakan,49
4,Pyke,43
5,Lulu,40
6,Thresh,38
7,Lux,20
8,Annie,18
9,Soraka,18
10,Heimerdinger,17
11,Blitzcrank,15
12,Nami,15
13,Janna,14
14,Sona,13
15,Zilean,11
16,Senna,10
17,Renata Glasc,9
18,Amumu,9
19,Twitch,9
20,Bardo,9
21,Shaco,7
22,Seraphine,7
23,Rell,7
24,Maokai,6
25,Vel'Koz,6
26,Caitlyn,5
27,Swain,5
28,Zyra,5
29,Alistar,4
30,Yasuo,4
31,Zeri,3
32,Poppy,2
33,Leona,2
34,Xerath,2
35,Taliyah,2
36,Karthus,2
37,Bel'Veth,2
38,Malzahar,1
39,Graves,1
40,Lucian,1
41,Lee Sin,1
42,Vi,1
43,Varus,1
44,Kai'Sa,1
45,Brand,1
46,Pantheon,1
47,Jhin,1
48,Zac,1
49,Syndra,1
50,Morgana,1
51,Gragas,1
52,Evelynn,1
53,Ahri,1
54,Anivia,1
55,Taric,1
