,Champion,Participaciones
0,Jax,105
1,Jayce,70
2,K'Sante,63
3,Fiora,39
4,Gangplank,35
5,Olaf,33
6,Darius,27
7,Ornn,26
8,Riven,26
9,Aatrox,19
10,Irelia,18
11,Illaoi,15
12,Renekton,14
13,Kled,14
14,Shen,14
15,Sett,13
16,Pantheon,13
17,Akshan,13
18,Camille,12
19,Gragas,12
20,Rengar,10
21,Gnar,8
22,Sion,8
23,Udyr,7
24,Lee Sin,6
25,Viego,6
26,Mordekaiser,6
27,Yone,5
28,Volibear,5
29,Kayle,5
30,Rumble,4
31,Warwick,4
32,Sejuani,4
33,Nunu y Willump,4
34,Nautilus,4
35,Rakan,4
36,Yasuo,3
37,Poppy,3
38,Tryndamere,3
39,Gwen,3
40,Ryze,2
41,Yorick,2
42,Elise,2
43,Singed,2
44,Janna,2
45,Vladimir,2
46,Zac,2
47,Quinn,2
48,Aurelion Sol,2
49,Xayah,1
50,Ezreal,1
51,Bel'Veth,1
52,Kennen,1
53,Kai'Sa,1
54,Jhin,1
55,Garen,1
56,Cho'Gath,1
57,Sylas,1
58,Malphite,1
59,Nidalee,1
60,Trundle,1
61,Graves,1
62,Zed,1
63,Senna,1
64,Skarner,1
65,Xin Zhao,1
66,Talon,1
67,Caitlyn,1
68,Nasus,1
69,Cassiopeia,1
70,Taric,1
71,Karma,1
72,Teemo,1
73,Annie,1
74,Ivern,1
75,Urgot,1
76,Amumu,1
