nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor
Draven696969,EUW,Challenger,1250,100,53.7,6.3,5.0,8.4,0.0112376573211595,0.0003388992316982,0.0011248588154866,0.0001392756417764,0.0015984949888326,0.0061764364955132,0.0012033810280498,0.0003270963071416,0.0003292148126607
nemesis fan 48,EUW,Challenger,1222,122,56.9,6.0,4.5,7.1,0.0088543766338219,0.0003347384952213,0.000974725206538,0.0001397759706996,0.0015375657581604,0.0040137737238951,0.0012193880256668,0.0003091627404465,0.0003252467131938
paiN caca1,BR,Challenger,1153,184,55.6,7.6,5.3,7.8,0.0087185434642844,0.0003526889918723,0.0012422347100938,0.0001423152726086,0.0019666816645033,0.0031918957946466,0.0011464286187578,0.0003344288346602,0.0003418695771416
JUGKlNG,KR,Challenger,1403,42,68.7,7.0,4.6,8.1,0.008520646742613,0.0003395340595721,0.0014057627829457,0.000141663443615,0.0035105354490331,0.0016302261175105,0.000800626551971,0.0003617313348441,0.0003305670031211
Yagiao,EUW,Challenger,1222,123,58.2,6.6,4.5,8.8,0.0083874910550457,0.0003398205525823,0.0011188956907132,0.0001411858327456,0.0019923308610636,0.0030361454955464,0.0011081078592757,0.0003205287607531,0.0003304760023654
im a jungler,EUW,Challenger,1423,34,55.8,7.5,3.8,8.1,0.0083644526854077,0.0003241912681705,0.0009476220072316,0.0001385410674944,0.0017144814306781,0.0035716612947956,0.0010414703800207,0.0003110881179084,0.000315397119108
Yøø Høbin,LAN,Challenger,1145,193,59.1,8.1,5.4,7.5,0.0082889695279283,0.0003532337360778,0.0012653909719151,0.0001434352262565,0.00221882986332,0.0025288013576321,0.0011036439253811,0.0003332959884565,0.0003423384588888
KJ Allen,BR,Challenger,1262,92,55.8,7.1,4.9,7.9,0.0082821188409601,0.0003422424621029,0.0011429026356904,0.0001445916974027,0.0028253521437044,0.0022038316602365,0.0009557339955969,0.0003369904252832,0.0003304738209428
Śheiden,EUW,Challenger,1273,88,63.0,8.5,4.4,7.3,0.0082533420002484,0.0003435578405326,0.0013487443108791,0.000140216630144,0.002443594402526,0.0023655666680041,0.0009272343767882,0.0003498785183613,0.0003345492530126
dw99q0znyh9c7wh,BR,Challenger,1206,139,56.2,9.0,5.4,7.2,0.0082296246867031,0.0003497105390603,0.0014054357554449,0.0001395095160128,0.0019112610156036,0.0027086119483427,0.0010245458012647,0.0003498493826569,0.0003407007283167
AHaHaCiK,EUW,Challenger,1209,132,55.7,6.7,5.1,8.9,0.0081983343171226,0.0003430924660879,0.0011331705722842,0.0001445400119533,0.0021642877604379,0.0026252335419483,0.0011344281292427,0.0003215216997883,0.0003320601353796
Boogeyman,LAS,Challenger,1286,84,58.6,8.6,4.6,5.4,0.0081646472175019,0.0003303682573852,0.0009826042610116,0.0001388147063631,0.0017561143693726,0.0032770301081622,0.0010455276818045,0.0003126310629819,0.0003215567704205
RED Curse,BR,Challenger,1282,86,58.1,6.1,4.9,10.3,0.0080971077574563,0.0003369497315683,0.0011665964204201,0.0001413030543948,0.0024315637606694,0.0023746421025875,0.0009914579688037,0.0003265821884973,0.0003280125305149
ssywfnkhl,BR,Challenger,1250,102,53.1,6.6,4.2,8.7,0.007990152178158,0.000348210131908,0.0015592867342516,0.0001427748005249,0.0024016368846989,0.0019080134706514,0.000936938050248,0.0003546353968358,0.000338656709039
100T C1oser,EUW,Challenger,1247,104,60.9,7.2,5.0,8.9,0.007941496406543,0.0003386010258268,0.0010398526592841,0.0001439932950604,0.0024459463518301,0.00234139352983,0.0009817385960335,0.0003226133262381,0.0003273576224398
Villager C,EUW,Challenger,1144,194,53.6,8.0,4.3,8.0,0.0079184836472481,0.0003419760327367,0.0009719569164934,0.0001413609401856,0.001305194398419,0.0030132362611475,0.0015066570684419,0.0003063450725012,0.0003317569573224
lalalalalalaaala,EUW,Challenger,1080,283,60.8,5.9,3.8,8.0,0.0078543805499205,0.0003824644033785,0.0032206717390108,0.0001448414950167,0.0013804818983993,0.0011254087365043,0.0008160580441438,0.0004113218225679,0.0003731324108989
Wx Mjm978244659,EUW,Challenger,1226,120,53.1,6.0,4.7,8.7,0.0078043301258262,0.0003323091312892,0.0009280454112029,0.0001394444398398,0.0013414408626676,0.0031446788884549,0.0012894872375623,0.0003061842632356,0.0003227398915736
DuplaNazareno,BR,Challenger,1336,63,54.7,7.8,4.5,6.8,0.0077767980696682,0.0003233174544688,0.0008748176467505,0.000139274447614,0.001568820236134,0.0031669301882988,0.0010896654004053,0.0002999069027353,0.0003140657932612
Perfect Blue,KR,Challenger,1031,360,59.1,7.5,4.3,7.8,0.0077739563366759,0.0003637758358868,0.0010307873126425,0.0001415772249707,0.00114100709464,0.0024299508288991,0.002000382835351,0.000313722981372,0.0003527522229135
Zwei und die,EUW,Challenger,1157,178,54.5,6.0,4.1,8.5,0.0077722528948449,0.0003662333382535,0.0023492250593946,0.0001442446550211,0.001681834080013,0.0015495347075204,0.0009404082113096,0.000385403907217,0.0003553689361153
LBR Drakehero,BR,Challenger,1349,57,52.8,6.6,4.9,8.4,0.0077519840915652,0.0003283541612558,0.0009851026085224,0.0001401740046617,0.0015795328526003,0.0029731693200001,0.0011145366005482,0.0003120753883506,0.0003190391556258
B0NN1E,KR,Challenger,1086,273,55.8,5.6,4.4,8.9,0.0077418565423983,0.0003483639419242,0.0009420101164154,0.0001407805376432,0.0012068594326174,0.0028575016172044,0.00160443150151,0.0003039554023593,0.0003379539927242
