Champion,Winrate
Ahri,67.3
Amumu,60.8
Ashe,71.0
Aurelion Sol,90.0
Bel'Veth,60.328
Cho'Gath,59.4
Diana,64.28888888888889
Ekko,58.63333333333334
Elise,62.178260869565214
Evelynn,61.21875
Ezreal,61.1
Fiddlesticks,60.26428571428571
Gragas,62.98076923076923
Graves,59.95531914893617
Gwen,75.0
Hecarim,56.584210526315786
Irelia,53.86
Ivern,59.36
Jarvan IV,62.84166666666667
Jayce,56.03333333333333
Karma,58.8
Karthus,56.1
Kayn,54.921052631578945
Kha'Zix,59.15
Kindred,62.62702702702703
Lee Sin,59.143362831858404
Lillia,65.725
Lulu,49.4
Maestro Yi,63.28333333333333
Maokai,61.306060606060605
Morgana,65.7
Nami,76.7
Nidalee,59.28857142857142
Nunu y Willump,58.960869565217386
Olaf,60.68571428571429
Pantheon,66.1
Poppy,62.5
Rammus,63.5
Rek'Sai,61.94
Rengar,64.35384615384615
Rumble,53.2
Samira,52.9
Sejuani,57.05
Shaco,59.8
Shen,61.9
Skarner,61.5
Sylas,61.481578947368426
Taliyah,66.07142857142857
Talon,56.14
Thresh,57.9
Tristana,51.3
Udyr,59.336842105263166
Varus,61.8
Vi,59.7875
Viego,55.34186046511628
Vladimir,76.5
Volibear,69.4
Wukong,61.36857142857143
Xayah,62.0
Xin Zhao,61.449999999999996
Yone,59.5
Zac,59.81333333333334
Zed,51.54
