Champion,Winrate
Ahri,61.4
Akali,57.36551724137931
Akshan,58.53076923076923
Alistar,57.1
Anivia,62.099999999999994
Annie,67.43333333333334
Ashe,61.35
Aurelion Sol,61.05813953488372
Azir,52.472727272727276
Cassiopeia,62.06666666666667
Corki,58.8
Diana,53.75
Ekko,58.09375
Ezreal,60.0
Fiddlesticks,62.6
Fiora,56.4
Fizz,63.6
Galio,56.975
Gangplank,58.4
Gragas,66.06363636363636
Graves,77.3
Irelia,56.397560975609764
Jarvan IV,75.6
Jax,62.5
Jayce,61.693999999999996
Jhin,64.7
K'Sante,60.52857142857143
Kai'Sa,50.8
Karma,49.300000000000004
Karthus,66.775
Kassadin,64.65714285714286
Katarina,57.870370370370374
Kled,63.13333333333333
Kog'Maw,64.27000000000001
LeBlanc,57.575
Lee Sin,60.03333333333333
Lissandra,61.239999999999995
Lux,55.400000000000006
Malzahar,59.95
Maokai,57.9
Nasus,61.0
Neeko,58.76666666666667
Nidalee,57.6
Orianna,63.51428571428572
Pantheon,58.44285714285714
Pyke,56.80833333333334
Qiyana,60.237500000000004
Renekton,55.0
Rengar,60.0
Riven,58.65
Rumble,57.400000000000006
Ryze,58.51282051282051
Samira,70.3
Seraphine,55.6
Sett,52.65714285714286
Shen,64.15
Singed,63.7
Sion,43.8
Swain,66.1
Sylas,58.79767441860466
Syndra,58.85348837209302
Taliyah,66.43076923076923
Talon,60.74285714285714
Tristana,61.59166666666667
Tryndamere,56.95
Twisted Fate,60.525000000000006
Twitch,57.65
Udyr,60.8
Varus,55.1
Veigar,63.7
Vel'Koz,62.2
Vex,58.975
Vi,56.9
Viego,64.4
Viktor,57.33571428571429
Vladimir,55.79333333333333
Xerath,60.65
Yasuo,56.76862745098039
Yone,59.81636363636364
Zac,64.5
Zed,57.900000000000006
Zeri,56.45
Ziggs,70.56666666666668
Zilean,51.2
Zoe,59.6
