Champion,Winrate
Ahri,71.4
Alistar,57.8
Amumu,60.36666666666666
Anivia,55.6
Annie,63.544444444444444
Ashe,57.029629629629625
Bardo,57.111111111111114
Bel'Veth,56.5
Blitzcrank,61.34
Brand,58.5
Caitlyn,63.660000000000004
Evelynn,81.0
Gragas,48.6
Graves,61.9
Heimerdinger,58.7764705882353
Janna,58.728571428571435
Jhin,36.4
Kai'Sa,66.7
Karma,57.23614457831326
Karthus,65.80000000000001
Lee Sin,70.4
Leona,60.95
Lucian,75.0
Lulu,55.5825
Lux,59.19500000000001
Malzahar,55.6
Maokai,65.73333333333333
Morgana,64.1
Nami,58.96666666666667
Nautilus,58.19090909090909
Pantheon,48.1
Poppy,59.6
Pyke,58.77906976744186
Rakan,62.25714285714285
Rell,63.08571428571429
Renata Glasc,61.27777777777778
Senna,61.35
Seraphine,57.41428571428571
Shaco,63.58571428571429
Sona,59.19230769230769
Soraka,62.81666666666667
Swain,61.0
Syndra,58.4
Taliyah,52.95
Taric,54.3
Thresh,60.771052631578954
Twitch,63.233333333333334
Varus,52.7
Vel'Koz,61.050000000000004
Vi,42.1
Xerath,60.9
Yasuo,56.0
Zac,57.4
Zeri,64.63333333333334
Zilean,63.7
Zyra,54.879999999999995
