Champion,Winrate
Aatrox,59.22105263157895
Akshan,63.45384615384615
Amumu,54.5
Annie,58.4
Aurelion Sol,63.7
Bel'Veth,55.9
Caitlyn,52.8
Camille,58.025
Cassiopeia,54.1
Cho'Gath,58.7
Darius,59.08518518518518
Elise,88.2
Ezreal,43.8
Fiora,57.36410256410256
Gangplank,56.20285714285715
Garen,53.8
Gnar,64.5
Gragas,64.72500000000001
Graves,64.3
Gwen,54.666666666666664
Illaoi,57.693333333333335
Irelia,54.577777777777776
Ivern,64.8
Janna,60.25
Jax,60.79238095238095
Jayce,56.95142857142857
Jhin,46.4
K'Sante,58.455555555555556
Kai'Sa,63.5
Karma,65.0
Kayle,73.8
Kennen,53.2
Kled,58.32857142857143
Lee Sin,54.9
Malphite,61.5
Mordekaiser,48.11666666666667
Nasus,55.1
Nautilus,65.2
Nidalee,54.9
Nunu y Willump,57.7
Olaf,58.84545454545455
Ornn,61.073076923076925
Pantheon,63.44615384615384
Poppy,54.800000000000004
Quinn,54.0
Rakan,67.4
Renekton,56.614285714285714
Rengar,55.83
Riven,60.565384615384616
Rumble,58.225
Ryze,61.599999999999994
Sejuani,61.650000000000006
Senna,65.3
Sett,55.69230769230769
Shen,57.09285714285714
Singed,60.05
Sion,58.4625
Skarner,66.3
Sylas,67.4
Talon,50.0
Taric,63.4
Teemo,55.6
Trundle,62.5
Tryndamere,64.10000000000001
Udyr,62.528571428571425
Urgot,63.2
Viego,58.03333333333334
Vladimir,56.25
Volibear,66.08
Warwick,55.275000000000006
Xayah,60.0
Xin Zhao,56.8
Yasuo,59.73333333333333
Yone,62.04
Yorick,55.35
Zac,59.65
Zed,65.6
